Pos,ID,Name,BV,SV,Team,10_xMins,10_Pts,11_xMins,11_Pts,12_xMins,12_Pts,13_xMins,13_Pts,14_xMins,14_Pts,15_xMins,15_Pts,16_xMins,16_Pts,17_xMins,17_Pts,18_xMins,18_Pts,19_xMins,19_Pts,20_xMins,20_Pts,21_xMins,21_Pts,Elite%
M,1,Fábio Vieira,5.4,5.4,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
F,2,G.Jesus,6.8,6.8,Arsenal,27,1.63,29,1.83,24,1.64,26,1.68,26,1.75,27,1.64,30,2.15,30,1.78,31,2.37,31,1.85,30,1.73,31,1.97,0.00
D,3,Gabriel,6.3,6.1,Arsenal,92,3.37,85,2.63,81,4.16,80,3.39,79,3.44,77,3.21,77,4.03,77,3.35,78,4.25,78,3.22,77,2.91,79,3.06,0.69
F,4,Havertz,8.2,8.2,Arsenal,87,4.19,84,4.17,81,4.46,79,4.00,79,4.47,79,3.73,77,4.63,77,3.71,77,5.06,76,3.78,75,3.48,73,3.89,0.05
G,5,Hein,4.0,4.0,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,6,J.Timber,5.5,5.5,Arsenal,60,2.24,66,2.11,56,2.84,49,2.09,43,1.89,43,1.86,43,2.21,45,1.94,43,2.27,42,1.79,40,1.57,43,1.66,0.00
M,7,Jorginho,4.8,4.8,Arsenal,15,0.58,15,0.59,17,0.71,17,0.70,17,0.73,18,0.71,16,0.70,17,0.68,19,0.83,16,0.67,18,0.72,17,0.71,0.00
D,8,Kiwior,4.8,4.8,Arsenal,14,0.52,13,0.46,11,0.51,7,0.27,7,0.27,8,0.32,8,0.35,8,0.34,8,0.36,8,0.32,8,0.31,8,0.29,0.00
M,9,Martinelli,7.0,7.0,Arsenal,68,3.64,65,3.52,60,3.76,57,3.30,56,3.47,54,3.01,54,3.56,53,2.99,53,3.87,51,2.97,53,2.84,51,3.06,0.00
M,10,Nelson,5.0,5.0,Fulham,33,1.72,36,1.60,36,1.98,37,1.63,36,1.79,0,0.00,37,1.48,39,2.27,38,1.60,39,2.00,38,2.20,39,1.82,0.00
F,11,Nketiah,5.9,5.9,Crystal Palace,69,3.35,67,3.16,69,2.83,66,3.17,66,3.24,67,2.62,67,2.83,66,2.65,65,2.85,65,3.73,66,2.97,65,3.13,0.00
M,12,Nwaneri,4.5,4.5,Arsenal,9,0.45,11,0.51,7,0.42,8,0.42,9,0.47,9,0.44,10,0.51,10,0.49,12,0.61,11,0.52,12,0.53,12,0.56,0.00
M,13,Ødegaard,8.2,8.2,Arsenal,35,1.78,79,4.02,84,4.96,83,4.42,83,4.69,83,4.12,81,5.13,82,4.15,81,5.50,82,4.19,83,4.01,83,4.56,0.00
G,14,Ramsdale,4.4,4.4,Southampton,94,3.44,93,3.27,92,2.93,92,3.04,91,2.99,92,2.94,91,2.97,91,3.05,92,3.20,90,3.09,90,3.17,91,2.99,0.01
G,15,Raya,5.6,5.5,Arsenal,94,3.67,93,3.38,93,4.25,91,3.77,91,3.71,90,3.72,90,4.14,91,3.81,90,4.17,89,3.65,89,3.48,91,3.55,0.24
M,16,Rice,6.3,6.3,Arsenal,87,2.94,85,2.78,83,3.15,79,2.79,78,2.87,79,2.66,77,3.04,76,2.56,75,3.20,76,2.62,74,2.46,77,2.75,0.00
M,17,Saka,10.0,10.0,Arsenal,87,5.18,85,5.30,79,5.71,79,5.10,77,5.42,76,4.61,74,5.65,76,4.57,73,6.19,75,4.68,75,4.42,75,5.02,0.17
D,18,Saliba,6.0,6.0,Arsenal,91,3.14,88,2.52,86,4.12,85,3.35,83,3.37,80,3.20,80,3.95,80,3.29,80,4.01,80,3.10,80,2.80,82,2.97,0.03
M,19,Smith Rowe,5.7,5.7,Fulham,77,4.01,75,3.20,72,4.00,70,2.90,70,3.44,70,2.88,67,2.50,66,3.91,67,2.74,68,3.49,68,3.95,68,3.17,0.05
M,20,Thomas,5.0,5.0,Arsenal,55,1.78,41,1.39,42,1.59,41,1.43,39,1.41,37,1.30,37,1.47,40,1.37,37,1.51,40,1.40,37,1.23,37,1.32,0.00
D,21,Tierney,4.3,4.3,Arsenal,0,0.00,0,0.00,0,0.00,1,0.07,0,0.00,1,0.07,1,0.08,1,0.09,2,0.10,2,0.10,2,0.10,1,0.06,0.00
D,22,Tomiyasu,4.8,4.8,Arsenal,9,0.37,24,0.86,20,1.00,16,0.70,15,0.66,18,0.77,20,1.03,21,0.91,21,1.07,23,0.99,21,0.84,19,0.79,0.00
M,23,Trossard,6.9,6.9,Arsenal,56,3.03,46,2.65,41,2.68,40,2.44,40,2.54,40,2.27,40,2.80,39,2.24,39,2.96,40,2.40,38,2.17,39,2.46,0.00
D,24,White,6.3,6.3,Arsenal,87,3.15,81,2.49,73,3.64,67,2.75,68,2.89,66,2.72,68,3.47,64,2.69,66,3.44,65,2.67,69,2.56,69,2.67,0.00
D,25,Zinchenko,4.8,4.8,Arsenal,20,0.90,18,0.72,16,0.83,11,0.51,11,0.50,12,0.53,12,0.63,10,0.46,12,0.65,12,0.54,12,0.52,11,0.50,0.00
D,26,Alex Moreno,4.4,4.4,Nott'm Forest,71,3.20,72,2.97,70,1.81,69,3.50,66,1.39,67,2.04,0,0.00,66,2.39,66,2.21,66,2.67,66,2.63,66,1.96,0.01
F,27,Archer,5.0,5.0,Southampton,58,3.29,54,2.82,48,2.28,48,2.28,46,2.32,46,2.15,45,2.37,46,2.20,45,2.66,44,2.15,44,2.50,45,2.17,0.00
M,28,Bailey,6.3,6.3,Aston Villa,46,2.33,47,2.24,45,2.73,43,2.13,45,2.86,46,3.26,45,2.40,44,2.09,45,2.36,46,2.69,46,3.20,46,2.62,0.00
M,29,Barkley,5.2,5.2,Aston Villa,10,0.49,11,0.54,13,0.75,15,0.72,16,0.93,16,1.03,17,0.88,18,0.81,19,0.91,19,1.07,18,1.13,16,0.84,0.00
