Pos,ID,Name,BV,SV,Team,8_xMins,8_Pts,9_xMins,9_Pts,10_xMins,10_Pts,11_xMins,11_Pts,12_xMins,12_Pts,13_xMins,13_Pts,14_xMins,14_Pts,15_xMins,15_Pts
D,1,Cédric,4.2,4.2,Arsenal,6,0.21,7,0.24,8,0.28,11,0.46,0,0.00,12,0.52,12,0.64,12,0.38
G,2,Leno,4.5,4.5,Fulham,89,3.62,87,3.47,86,3.21,86,3.85,85,3.46,85,3.21,84,3.65,84,3.05
M,3,Xhaka,5.0,5.0,Arsenal,78,2.57,76,2.42,72,2.16,68,2.30,0,0.00,64,2.14,66,2.63,63,1.80
M,4,Elneny,4.3,4.3,Arsenal,0,0.00,0,0.00,0,0.00,2,0.06,0,0.00,6,0.24,11,0.46,15,0.49
D,5,Holding,4.3,4.3,Arsenal,4,0.14,4,0.14,6,0.15,9,0.32,0,0.00,8,0.28,10,0.44,7,0.20
M,6,Partey,4.8,4.8,Arsenal,48,1.65,78,2.58,79,2.43,76,2.63,0,0.00,74,2.54,74,3.00,72,2.12
M,7,Ødegaard,6.5,6.5,Arsenal,71,3.65,71,3.51,69,3.14,67,3.54,0,0.00,64,3.34,64,4.11,66,2.68
D,8,Tierney,4.9,4.9,Arsenal,47,2.13,42,1.84,43,1.54,48,2.20,0,0.00,50,2.29,47,2.75,50,1.67
M,9,Pépé,5.3,5.3,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,10,White,4.5,4.5,Arsenal,63,2.42,62,2.27,59,1.80,58,2.28,0,0.00,56,2.22,58,2.95,58,1.70
F,11,Nketiah,6.6,6.6,Arsenal,22,1.37,25,1.46,23,1.29,27,1.79,0,0.00,30,1.94,31,2.34,31,1.63
M,12,Smith Rowe,5.7,5.7,Arsenal,16,0.99,22,1.29,23,1.30,26,1.58,0,0.00,26,1.60,30,2.09,31,1.51
M,13,Saka,7.8,7.8,Arsenal,77,4.98,76,4.70,74,4.17,73,4.86,0,0.00,70,4.60,68,5.68,67,3.36
D,14,Tomiyasu,4.2,4.2,Arsenal,54,2.15,60,2.23,64,1.95,62,2.50,0,0.00,63,2.54,63,3.32,63,1.88
G,15,Ramsdale,4.9,4.9,Arsenal,88,3.65,89,3.65,87,3.33,85,3.56,0,0.00,84,3.52,84,4.05,84,3.18
D,16,Gabriel,5.1,5.1,Arsenal,70,3.06,66,2.72,65,2.18,66,2.93,0,0.00,66,2.90,63,3.66,64,2.03
D,17,Tavares,4.5,4.5,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,18,Sambi,4.4,4.4,Arsenal,22,0.88,12,0.50,12,0.49,13,0.53,0,0.00,14,0.58,12,0.52,12,0.44
M,19,Martinelli,6.5,6.2,Arsenal,75,4.51,71,4.14,70,3.69,65,4.11,0,0.00,63,3.91,62,4.80,60,2.90
D,20,Pablo Marí,4.5,4.5,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
