Pos,ID,Name,BV,SV,Team,14_xMins,14_Pts,15_xMins,15_Pts,16_xMins,16_Pts
D,1,Cédric,4.2,4.2,Arsenal,5,0.26,6,0.19,5,0.23
G,2,Leno,4.5,4.5,Fulham,88,3.69,86,3.15,86,3.17
M,3,Xhaka,5.1,5.1,Arsenal,81,3.42,78,2.37,76,2.63
M,4,Elneny,4.2,4.2,Arsenal,0,0.00,0,0.00,3,0.07
D,5,Holding,4.2,4.2,Arsenal,5,0.15,8,0.24,10,0.34
M,6,Partey,4.8,4.8,Arsenal,81,3.28,80,2.37,76,2.60
M,7,Ødegaard,6.4,6.4,Arsenal,69,4.50,67,2.94,69,3.64
D,8,Tierney,4.8,4.8,Arsenal,56,3.44,50,1.82,40,2.00
M,9,Pépé,5.3,5.3,Arsenal,0,0.00,0,0.00,0,0.00
D,10,White,4.6,4.6,Arsenal,81,4.49,74,2.46,73,3.29
F,11,Nketiah,6.5,6.5,Arsenal,26,1.97,33,1.79,32,2.09
M,12,Smith Rowe,5.6,5.6,Arsenal,0,0.00,0,0.00,0,0.00
M,13,Saka,8.0,8.0,Arsenal,79,6.65,77,4.01,76,4.88
D,14,Tomiyasu,4.2,4.2,Arsenal,53,2.92,51,1.68,51,2.30
G,15,Ramsdale,4.9,4.9,Arsenal,88,4.32,88,3.43,87,3.85
D,16,Gabriel,5.1,5.1,Arsenal,62,3.79,73,2.61,73,3.61
D,17,Tavares,4.5,4.5,Arsenal,0,0.00,0,0.00,0,0.00
M,18,Sambi,4.4,4.4,Arsenal,10,0.41,10,0.36,13,0.50
M,19,Martinelli,6.8,6.4,Arsenal,76,5.74,77,3.71,75,4.50
D,20,Pablo Marí,4.5,4.5,Arsenal,0,0.00,0,0.00,0,0.00
M,21,Maitland-Niles,4.8,4.8,Southampton,42,1.45,43,1.53,39,1.26
M,22,Torreira,4.5,4.5,Arsenal,0,0.00,0,0.00,0,0.00
M,23,Nelson,4.8,4.8,Arsenal,1,0.00,2,0.14,2,0.15
G,24,Turner,3.9,3.9,Arsenal,2,0.05,2,0.08,2,0.09
M,25,Fábio Vieira,5.7,5.7,Arsenal,27,1.75,31,1.40,29,1.60
D,26,Saliba,5.2,5.2,Arsenal,85,4.57,71,2.24,68,2.89
M,27,Marquinhos,4.7,4.7,Arsenal,5,0.39,9,0.45,9,0.57
