Pos,ID,Name,BV,SV,Team,15_xMins,15_Pts,16_xMins,16_Pts
D,1,Cédric,4.2,4.2,Arsenal,5,0.15,5,0.23
G,2,Leno,4.5,4.5,Fulham,87,3.18,88,3.23
M,3,Xhaka,5.1,5.1,Arsenal,82,2.50,79,2.79
M,4,Elneny,4.2,4.2,Arsenal,0,0.00,1,0.00
D,5,Holding,4.2,4.2,Arsenal,10,0.27,7,0.21
M,6,Partey,4.8,4.8,Arsenal,82,2.47,79,2.72
M,7,Ødegaard,6.4,6.4,Arsenal,72,3.22,71,3.77
D,8,Tierney,4.8,4.8,Arsenal,33,1.25,38,1.94
M,9,Pépé,5.3,5.3,Arsenal,0,0.00,0,0.00
D,10,White,4.6,4.6,Arsenal,82,2.69,75,3.45
F,11,Nketiah,6.5,6.5,Arsenal,30,1.71,28,1.87
M,12,Smith Rowe,5.6,5.6,Arsenal,0,0.00,0,0.00
M,13,Saka,8.0,8.0,Arsenal,52,2.85,75,4.85
D,14,Tomiyasu,4.2,4.2,Arsenal,67,2.23,53,2.38
G,15,Ramsdale,4.9,4.9,Arsenal,89,3.52,88,3.88
D,16,Gabriel,5.1,5.1,Arsenal,83,2.99,78,3.89
D,17,Tavares,4.5,4.5,Arsenal,0,0.00,0,0.00
M,18,Sambi,4.4,4.4,Arsenal,7,0.24,8,0.34
M,19,Martinelli,6.8,6.4,Arsenal,79,4.00,75,4.50
D,20,Pablo Marí,4.5,4.5,Arsenal,0,0.00,0,0.00
M,21,Maitland-Niles,4.8,4.8,Southampton,34,1.28,27,0.99
M,22,Torreira,4.5,4.5,Arsenal,0,0.00,0,0.00
M,23,Nelson,4.8,4.8,Arsenal,30,1.60,17,1.04
G,24,Turner,3.9,3.9,Arsenal,1,0.00,2,0.09
M,25,Fábio Vieira,5.7,5.7,Arsenal,26,1.24,24,1.34
D,26,Saliba,5.2,5.2,Arsenal,74,2.32,74,3.24
M,27,Marquinhos,4.7,4.7,Arsenal,2,0.14,4,0.22
F,28,Jesus,8.0,8.0,Arsenal,75,3.73,71,4.19
M,29,Coutinho,6.6,6.6,Aston Villa,39,1.96,44,2.04
F,30,Ings,6.6,6.6,Aston Villa,74,3.77,70,3.18
G,31,Martínez,4.9,4.9,Aston Villa,71,2.73,86,3.26
