Pos,ID,Name,BV,SV,Team,20_xMins,20_Pts,21_xMins,21_Pts,22_xMins,22_Pts,23_xMins,23_Pts,24_xMins,24_Pts,25_xMins,25_Pts,26_xMins,26_Pts,27_xMins,27_Pts,28_xMins,28_Pts
D,1,Cédric,4.2,4.2,Arsenal,1,0.00,4,0.13,3,0.14,4,0.25,4,0.15,4,0.17,4,0.21,7,0.27,7,0.23
G,2,Leno,4.5,4.5,Fulham,88,3.25,88,3.33,86,3.16,85,3.80,84,3.12,85,3.77,85,3.21,83,3.11,83,0.97
M,3,Xhaka,5.0,5.0,Arsenal,82,2.67,79,2.84,75,2.77,76,5.25,75,2.87,72,2.56,71,3.04,72,2.52,69,2.06
M,4,Elneny,4.2,4.2,Arsenal,7,0.23,9,0.30,11,0.36,11,0.69,11,0.39,9,0.28,14,0.53,11,0.39,13,0.38
D,5,Holding,4.2,4.2,Arsenal,2,0.04,6,0.21,4,0.18,5,0.36,7,0.31,7,0.26,6,0.26,7,0.25,6,0.18
M,6,Partey,4.8,4.8,Arsenal,82,2.56,80,2.78,76,2.69,75,5.02,75,2.79,75,2.57,72,2.96,73,2.48,72,2.05
M,7,Ødegaard,6.7,6.7,Arsenal,78,3.95,77,4.32,75,4.33,73,7.88,73,4.33,73,4.15,73,5.16,72,3.94,73,3.45
D,8,Tierney,4.7,4.7,Arsenal,23,0.97,25,1.14,24,1.19,27,2.31,26,1.33,29,1.43,26,1.52,26,1.26,28,1.16
M,9,Pépé,5.3,5.3,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,10,White,4.7,4.7,Arsenal,73,2.73,74,3.15,72,3.49,70,5.75,70,3.35,70,3.15,69,4.02,67,2.99,68,2.75
F,11,Nketiah,6.6,6.6,Arsenal,76,4.00,74,4.33,72,4.26,54,6.37,41,2.70,29,1.77,27,2.10,27,1.69,28,1.46
M,12,Smith Rowe,5.6,5.6,Arsenal,20,1.17,29,1.78,26,1.59,26,3.21,25,1.62,23,1.40,28,2.07,27,1.61,25,1.24
M,13,Saka,8.1,8.0,Arsenal,84,4.72,70,4.54,78,5.12,74,9.25,74,5.15,71,4.65,70,5.85,72,4.57,70,3.93
D,14,Tomiyasu,4.2,4.2,Arsenal,32,1.25,40,1.74,38,1.81,44,3.62,44,2.13,43,1.96,47,2.71,47,2.05,47,1.90
G,15,Ramsdale,4.9,4.9,Arsenal,88,3.58,88,3.84,87,3.98,87,7.36,88,4.17,85,3.75,86,4.33,87,3.80,85,3.10
D,16,Gabriel,5.2,5.1,Arsenal,82,3.22,78,3.53,78,4.05,76,6.64,75,3.84,76,3.60,75,4.73,75,3.44,75,3.19
D,17,Tavares,4.5,4.5,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,18,Sambi,4.3,4.3,Arsenal,4,0.17,5,0.23,5,0.17,5,0.39,5,0.24,6,0.21,4,0.14,5,0.17,6,0.17
M,19,Martinelli,6.8,6.4,Arsenal,82,4.37,79,4.78,75,4.66,72,8.52,70,4.61,67,4.14,67,5.27,70,4.20,65,3.43
D,20,Pablo Marí,4.5,4.5,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,21,Maitland-Niles,4.8,4.8,Southampton,27,1.06,29,1.10,18,0.73,20,0.81,15,0.60,19,0.61,19,0.78,17,0.63,19,0.15
M,22,Torreira,4.5,4.5,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,23,Nelson,4.7,4.7,Arsenal,0,0.00,0,0.00,1,0.00,4,0.48,5,0.32,5,0.36,4,0.34,4,0.23,7,0.39
G,24,Turner,3.9,3.9,Arsenal,2,0.04,2,0.09,2,0.09,3,0.22,2,0.10,5,0.18,4,0.15,3,0.09,5,0.15
M,25,Fábio Vieira,5.7,5.7,Arsenal,21,1.07,22,1.25,17,0.93,15,1.64,14,0.82,15,0.80,14,0.90,14,0.75,15,0.65
D,26,Saliba,5.3,5.3,Arsenal,84,2.84,71,2.79,80,3.58,77,5.80,77,3.42,75,3.18,76,4.07,77,3.12,75,2.86
M,27,Marquinhos,4.6,4.6,Arsenal,3,0.14,5,0.30,2,0.15,2,0.23,1,0.08,2,0.15,1,0.00,2,0.08,2,0.06
F,28,Jesus,7.9,7.9,Arsenal,0,0.00,0,0.00,0,0.00,27,2.97,48,3.01,71,4.18,73,5.44,74,4.24,73,3.57
M,29,Coutinho,6.6,6.6,Aston Villa,32,2.01,36,2.07,20,1.29,21,1.02,23,1.23,23,1.35,26,1.67,25,1.34,26,1.87
F,30,Ings,6.4,6.4,Aston Villa,54,3.53,49,3.03,35,2.38,32,1.47,32,1.80,34,2.12,35,2.29,35,1.94,37,2.69
G,31,Martínez,4.9,4.9,Aston Villa,89,3.67,88,3.63,87,3.69,88,3.08,88,3.21,87,3.52,85,3.69,85,3.24,86,3.88
D,32,Chambers,4.2,4.2,Aston Villa,10,0.39,29,1.08,9,0.32,11,0.21,13,0.33,13,0.46,9,0.37,6,0.20,5,0.23
D,33,Digne,4.6,4.6,Aston Villa,78,3.43,66,2.69,48,2.23,38,0.73,29,0.92,32,1.32,30,1.43,32,1.15,32,1.76
M,34,Traoré,4.9,4.9,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
G,35,Olsen,3.9,3.9,Aston Villa,1,0.04,2,0.04,3,0.09,2,0.04,2,0.07,3,0.08,4,0.17,4,0.15,4,0.14
M,36,Sanson,4.3,4.3,Aston Villa,10,0.54,10,0.48,5,0.24,4,0.16,4,0.22,5,0.28,5,0.30,5,0.27,6,0.37
M,37,McGinn,5.1,5.1,Aston Villa,0,0.00,3,0.13,54,2.24,64,1.84,59,2.04,59,2.21,60,2.44,58,2.06,57,2.58
D,38,Hause,4.4,4.4,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,39,Mings,4.3,4.3,Aston Villa,86,3.08,64,2.18,82,3.07,79,1.21,77,1.81,78,2.52,76,2.92,73,2.07,69,3.02
F,40,Watkins,7.1,7.1,Aston Villa,83,4.51,79,4.05,79,4.38,78,2.73,78,3.38,74,3.64,73,3.96,73,3.29,73,4.47
M,41,Nakamba,4.3,4.3,Aston Villa,4,0.16,2,0.04,1,0.04,1,0.00,1,0.04,1,0.04,2,0.04,1,0.04,2,0.04
M,42,Buendía,5.7,5.7,Aston Villa,69,3.72,66,3.42,61,3.43,59,2.18,59,2.61,58,2.93,58,3.27,58,2.72,57,3.62
D,43,Cash,4.6,4.6,Aston Villa,31,1.26,69,2.57,73,3.09,75,1.23,73,1.97,71,2.60,69,2.96,71,2.24,67,3.25
D,44,Konsa,4.4,4.4,Aston Villa,86,3.26,84,2.92,82,3.22,81,1.26,78,1.98,73,2.55,58,2.37,47,1.43,40,1.86
