Pos,ID,Name,BV,SV,Team,20_xMins,20_Pts,21_xMins,21_Pts,22_xMins,22_Pts,23_xMins,23_Pts,24_xMins,24_Pts,25_xMins,25_Pts,26_xMins,26_Pts,27_xMins,27_Pts,28_xMins,28_Pts
D,1,Cédric,4.2,4.2,Arsenal,1,0.03,4,0.15,3,0.14,4,0.31,4,0.20,4,0.19,4,0.23,7,0.30,7,0.27
G,2,Leno,4.5,4.5,Fulham,88,3.26,88,3.35,86,3.18,85,3.81,84,3.15,85,3.81,85,3.23,83,3.12,83,0.98
M,3,Xhaka,5.0,5.0,Arsenal,82,2.67,79,2.84,75,2.77,76,5.26,75,2.88,72,2.57,71,3.05,72,2.52,69,2.06
M,4,Elneny,4.2,4.2,Arsenal,7,0.24,9,0.33,11,0.39,11,0.75,11,0.41,9,0.31,14,0.57,11,0.40,13,0.38
D,5,Holding,4.2,4.2,Arsenal,2,0.07,6,0.24,4,0.19,5,0.39,7,0.32,7,0.29,6,0.29,7,0.29,6,0.21
M,6,Partey,4.8,4.8,Arsenal,82,2.62,80,2.82,76,2.75,75,5.14,75,2.85,75,2.64,72,3.05,73,2.53,72,2.09
M,7,Ødegaard,6.7,6.7,Arsenal,78,3.89,77,4.27,75,4.30,73,7.80,73,4.31,73,4.12,73,5.10,72,3.93,73,3.40
D,8,Tierney,4.7,4.7,Arsenal,23,0.99,25,1.19,24,1.24,27,2.38,26,1.38,29,1.44,26,1.57,26,1.27,28,1.20
M,9,Pépé,5.3,5.3,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,10,White,4.7,4.7,Arsenal,73,2.66,74,3.09,72,3.43,70,5.69,70,3.31,70,3.12,69,3.95,67,2.94,68,2.72
F,11,Nketiah,6.6,6.6,Arsenal,76,4.04,74,4.38,72,4.27,54,6.42,41,2.72,29,1.80,27,2.10,27,1.70,28,1.47
M,12,Smith Rowe,5.6,5.6,Arsenal,20,1.19,29,1.82,26,1.62,26,3.26,25,1.67,23,1.43,28,2.07,27,1.64,25,1.28
M,13,Saka,8.1,8.0,Arsenal,84,4.79,70,4.58,78,5.16,74,9.45,74,5.21,71,4.73,70,5.98,72,4.66,70,3.99
D,14,Tomiyasu,4.2,4.2,Arsenal,32,1.24,40,1.73,38,1.82,44,3.63,44,2.13,43,1.95,47,2.68,47,2.05,47,1.89
G,15,Ramsdale,4.9,4.9,Arsenal,88,3.60,88,3.87,87,4.00,87,7.43,88,4.21,85,3.77,86,4.35,87,3.80,85,3.12
D,16,Gabriel,5.2,5.1,Arsenal,82,3.27,78,3.56,78,4.07,76,6.67,75,3.87,76,3.63,75,4.75,75,3.47,75,3.21
D,17,Tavares,4.5,4.5,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,18,Sambi,4.3,4.3,Arsenal,4,0.18,5,0.24,5,0.20,5,0.45,5,0.24,6,0.24,4,0.17,5,0.21,6,0.19
M,19,Martinelli,6.8,6.4,Arsenal,82,4.39,79,4.80,75,4.61,72,8.45,70,4.59,67,4.11,67,5.24,70,4.20,65,3.40
D,20,Pablo Marí,4.5,4.5,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,21,Maitland-Niles,4.8,4.8,Southampton,27,1.07,29,1.13,18,0.74,20,0.84,15,0.61,19,0.61,19,0.82,17,0.66,19,0.15
M,22,Torreira,4.5,4.5,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,23,Nelson,4.7,4.7,Arsenal,0,0.00,0,0.00,1,0.06,4,0.53,5,0.35,5,0.39,4,0.34,4,0.29,7,0.40
G,24,Turner,3.9,3.9,Arsenal,2,0.07,2,0.11,2,0.11,3,0.23,2,0.12,5,0.21,4,0.19,3,0.12,5,0.18
