Pos,ID,Name,BV,SV,Team,20_xMins,20_Pts,21_xMins,21_Pts,22_xMins,22_Pts,23_xMins,23_Pts,24_xMins,24_Pts,25_xMins,25_Pts,26_xMins,26_Pts,27_xMins,27_Pts,28_xMins,28_Pts
D,1,Cédric,4.2,4.2,Arsenal,1,0.04,4,0.12,3,0.09,4,0.28,4,0.23,6,0.27,5,0.26,7,0.27,5,0.19
G,2,Leno,4.5,4.5,Fulham,88,3.25,86,3.29,87,3.19,86,3.80,86,3.19,84,3.77,86,3.25,85,3.18,84,1.00
M,3,Xhaka,5.0,5.0,Arsenal,82,2.63,79,2.74,77,2.81,76,5.24,73,3.26,70,2.52,72,3.11,72,2.52,70,2.06
M,4,Elneny,4.2,4.2,Arsenal,8,0.23,10,0.34,10,0.32,10,0.70,11,0.45,11,0.39,11,0.39,13,0.43,13,0.38
D,5,Holding,4.2,4.2,Arsenal,2,0.04,6,0.20,4,0.14,7,0.48,6,0.31,8,0.29,7,0.30,9,0.33,9,0.29
M,6,Partey,4.8,4.8,Arsenal,82,2.56,77,2.55,77,2.70,75,5.02,76,3.28,74,2.55,74,3.07,74,2.51,71,2.04
M,7,Ødegaard,6.7,6.7,Arsenal,78,3.98,77,4.06,75,4.30,74,7.97,73,5.09,72,4.01,74,5.16,72,3.98,71,3.33
D,8,Tierney,4.7,4.7,Arsenal,24,1.01,25,1.07,24,1.25,26,2.27,27,1.69,29,1.44,27,1.59,29,1.36,33,1.43
M,9,Pépé,5.3,5.3,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,10,White,4.7,4.7,Arsenal,74,2.73,75,2.94,74,3.58,72,5.92,71,3.98,68,3.11,69,3.97,67,2.99,67,2.75
F,11,Nketiah,6.6,6.6,Arsenal,78,4.08,77,4.22,71,4.23,53,6.23,40,3.04,28,1.73,27,2.02,27,1.68,25,1.32
M,12,Smith Rowe,5.6,5.6,Arsenal,19,1.10,30,1.72,26,1.67,26,3.09,25,1.94,24,1.51,27,1.93,26,1.59,28,1.36
M,13,Saka,8.1,8.0,Arsenal,83,4.65,69,4.14,76,5.03,74,9.19,73,5.83,69,4.52,70,5.88,68,4.34,70,3.86
D,14,Tomiyasu,4.2,4.2,Arsenal,30,1.17,38,1.55,38,1.86,42,3.46,45,2.58,48,2.14,50,2.82,46,2.05,49,1.98
G,15,Ramsdale,4.9,4.9,Arsenal,89,3.61,88,3.63,88,4.02,88,7.45,86,4.76,84,3.71,86,4.33,85,3.67,84,3.10
