Pos,ID,Name,BV,SV,Team,20_xMins,20_Pts,21_xMins,21_Pts,22_xMins,22_Pts,23_xMins,23_Pts,24_xMins,24_Pts,25_xMins,25_Pts,26_xMins,26_Pts,27_xMins,27_Pts,28_xMins,28_Pts
D,1,Cédric,4.2,4.2,Arsenal,1,0.04,3,0.16,4,0.13,4,0.30,5,0.20,5,0.17,6,0.26,6,0.22,6,0.19
G,2,Leno,4.5,4.5,Fulham,89,3.23,87,3.35,87,3.17,86,3.79,86,3.18,85,3.10,83,3.14,83,3.10,85,1.01
M,3,Xhaka,5.1,5.1,Arsenal,83,2.71,79,3.31,76,2.77,76,5.27,74,2.86,72,2.55,73,3.13,71,2.50,69,2.03
M,4,Elneny,4.2,4.2,Arsenal,5,0.17,9,0.35,10,0.32,12,0.77,11,0.43,12,0.43,13,0.52,13,0.43,12,0.34
D,5,Holding,4.2,4.2,Arsenal,1,0.04,5,0.21,5,0.19,4,0.32,6,0.24,7,0.29,7,0.30,6,0.21,6,0.18
M,6,Partey,4.8,4.8,Arsenal,83,2.63,78,3.19,77,2.70,75,5.05,74,2.76,72,2.49,73,3.00,73,2.51,71,2.05
M,7,Ødegaard,6.7,6.7,Arsenal,77,3.77,74,4.77,71,3.91,70,7.43,71,4.17,68,3.74,71,4.85,68,3.67,66,2.99
D,8,Tierney,4.7,4.7,Arsenal,21,0.87,26,1.44,26,1.31,28,2.57,30,1.55,32,1.55,30,1.79,30,1.43,34,1.44
M,9,Pépé,5.3,5.3,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,10,White,4.7,4.7,Arsenal,73,2.74,71,3.56,70,3.37,69,5.63,68,3.30,67,3.03,64,3.62,63,2.71,64,2.58
F,11,Nketiah,6.5,6.5,Arsenal,72,3.89,70,4.89,69,4.12,48,5.86,39,2.55,25,1.61,23,1.74,22,1.42,23,1.23
M,12,Smith Rowe,5.6,5.6,Arsenal,22,1.20,39,2.76,34,2.05,30,3.58,29,1.91,27,1.66,27,1.98,28,1.65,27,1.37
M,13,Saka,8.1,8.0,Arsenal,83,4.73,70,5.33,78,5.10,75,9.34,72,5.01,72,4.69,74,6.15,73,4.61,71,3.96
D,14,Tomiyasu,4.2,4.2,Arsenal,32,1.24,47,2.41,45,2.16,47,3.90,49,2.38,49,2.24,51,2.89,54,2.35,53,2.15
G,15,Ramsdale,4.9,4.9,Arsenal,89,3.66,88,4.48,87,3.94,87,7.34,86,4.14,85,3.72,85,4.29,84,3.62,84,3.10
D,16,Gabriel,5.2,5.1,Arsenal,82,3.29,76,4.14,75,3.89,72,6.29,73,3.74,72,3.43,72,4.49,73,3.27,73,3.09
D,17,Tavares,4.5,4.5,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,18,Sambi,4.3,4.3,Arsenal,2,0.05,4,0.23,5,0.17,5,0.39,5,0.19,7,0.26,5,0.23,7,0.26,7,0.24
M,19,Martinelli,6.8,6.4,Arsenal,80,4.36,80,5.71,76,4.69,74,8.67,70,4.60,68,4.12,67,5.20,67,4.08,66,3.40
D,20,Pablo Marí,4.5,4.5,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,21,Maitland-Niles,4.8,4.8,Southampton,22,0.86,18,0.76,15,0.63,17,0.73,15,0.60,15,0.57,19,0.80,17,0.66,19,0.15
M,22,Torreira,4.5,4.5,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,23,Nelson,4.7,4.7,Arsenal,0,0.00,0,0.00,1,0.00,4,0.48,4,0.27,5,0.29,5,0.34,5,0.29,6,0.34
G,24,Turner,3.9,3.9,Arsenal,1,0.00,2,0.10,3,0.14,3,0.26,4,0.15,5,0.22,5,0.20,6,0.22,6,0.18
M,25,Fábio Vieira,5.7,5.7,Arsenal,11,0.55,22,1.46,16,0.95,15,1.66,14,0.89,14,0.76,14,0.91,13,0.76,17,0.80
D,26,Saliba,5.3,5.3,Arsenal,84,2.86,69,3.21,77,3.40,76,5.79,75,3.38,75,3.13,73,3.95,73,2.89,73,2.74
M,27,Marquinhos,4.6,4.6,Arsenal,1,0.00,5,0.40,3,0.15,2,0.23,1,0.08,2,0.08,1,0.09,2,0.08,2,0.06
F,28,Jesus,7.9,7.9,Arsenal,0,0.00,0,0.00,0,0.00,31,3.41,49,3.11,74,4.29,75,5.51,76,4.39,75,3.69
M,29,Coutinho,6.6,6.6,Aston Villa,33,2.10,32,1.90,22,1.48,30,1.31,28,1.49,30,1.77,32,1.97,31,1.68,31,2.13
F,30,Ings,6.4,6.4,Aston Villa,38,2.56,36,2.26,33,2.29,32,1.43,32,1.77,34,2.02,33,2.14,32,1.78,32,2.38
G,31,Martínez,4.9,4.9,Aston Villa,88,3.68,89,3.66,88,3.69,87,3.05,86,3.19,87,3.52,86,3.73,87,3.32,85,3.88
D,32,Chambers,4.2,4.2,Aston Villa,6,0.25,28,1.04,11,0.39,13,0.26,14,0.39,13,0.46,15,0.61,10,0.29,6,0.28
D,33,Digne,4.6,4.6,Aston Villa,80,3.60,73,2.99,69,3.18,70,1.17,70,2.08,70,2.81,67,3.11,66,2.25,65,3.48
M,34,Traoré,4.9,4.9,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
G,35,Olsen,3.9,3.9,Aston Villa,1,0.04,1,0.00,2,0.09,3,0.11,4,0.11,3,0.12,3,0.13,3,0.08,4,0.14
M,36,Sanson,4.3,4.3,Aston Villa,6,0.35,4,0.18,4,0.24,3,0.16,4,0.22,6,0.33,5,0.29,5,0.27,6,0.32
M,37,McGinn,5.1,5.1,Aston Villa,47,1.95,59,2.26,60,2.46,62,1.80,61,2.04,59,2.21,60,2.41,58,2.04,60,2.63
D,38,Hause,4.4,4.4,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,39,Mings,4.3,4.3,Aston Villa,86,3.11,64,2.13,81,3.00,80,1.22,77,1.86,78,2.54,76,2.95,76,2.12,71,3.15
F,40,Watkins,7.1,7.1,Aston Villa,81,4.41,81,4.05,79,4.29,76,2.66,76,3.24,76,3.61,76,3.94,76,3.37,76,4.43
M,41,Nakamba,4.3,4.3,Aston Villa,2,0.04,1,0.00,1,0.04,2,0.04,2,0.04,2,0.04,2,0.04,1,0.04,3,0.12
M,42,Buendía,5.7,5.7,Aston Villa,64,3.64,60,3.20,60,3.38,57,2.13,55,2.45,56,2.87,55,3.10,56,2.58,58,3.56
D,43,Cash,4.6,4.6,Aston Villa,62,2.56,76,2.82,74,3.08,73,1.19,72,1.95,73,2.64,72,3.03,71,2.21,72,3.47
D,44,Konsa,4.4,4.4,Aston Villa,86,3.24,84,2.89,82,3.16,80,1.26,80,2.03,81,2.73,74,2.97,64,1.91,49,2.21
