Pos,ID,Name,BV,SV,Team,33_xMins,33_Pts
G,1,Leno,4.5,4.5,Arsenal,0,0.00
G,2,Rúnarsson,4.0,4.0,Arsenal,0,0.00
M,3,Willian,6.3,6.3,Arsenal,0,0.00
F,4,Aubameyang,9.6,9.6,Arsenal,0,0.00
D,5,Cédric,4.2,4.2,Arsenal,84,5.97
F,6,Lacazette,8.4,8.3,Arsenal,45,4.66
M,7,Xhaka,4.8,4.8,Arsenal,84,4.80
D,8,Marí,4.2,4.2,Arsenal,0,0.00
D,9,Bellerín,4.8,4.8,Arsenal,0,0.00
D,10,Chambers,4.2,4.2,Aston Villa,0,0.00
D,11,Kolasinac,4.2,4.2,Arsenal,0,0.00
M,12,Elneny,4.4,4.4,Arsenal,15,1.16
M,13,Maitland-Niles,5.2,5.2,Arsenal,0,0.00
D,14,Holding,4.1,4.1,Arsenal,16,1.13
M,15,Partey,5.0,5.0,Arsenal,0,0.00
D,16,Tierney,5.0,5.0,Arsenal,0,0.00
M,17,Pépé,6.9,6.9,Arsenal,28,3.95
M,18,Torreira,4.5,4.5,Arsenal,0,0.00
M,19,Willock,5.6,5.6,Newcastle,43,3.76
F,20,Nketiah,5.4,5.4,Arsenal,28,3.28
M,21,Smith Rowe,5.7,5.7,Arsenal,62,5.77
M,22,Saka,6.8,6.6,Arsenal,80,8.02
D,23,Gabriel,5.4,5.4,Arsenal,89,6.34
D,24,Mavropanos,4.5,4.5,Arsenal,0,0.00
M,25,Guendouzi,4.5,4.5,Arsenal,0,0.00
M,26,Martinelli,5.3,5.3,Arsenal,70,6.93
D,27,Saliba,4.5,4.5,Arsenal,0,0.00
G,28,Steer,3.9,3.9,Aston Villa,0,0.00
M,29,Hourihane,4.9,4.9,Aston Villa,0,0.00
G,30,Martínez,5.5,5.5,Aston Villa,0,0.00
D,31,Engels,4.5,4.5,Aston Villa,0,0.00
M,32,Traoré,5.7,5.7,Aston Villa,0,0.00
M,33,Grealish,7.5,7.5,Man City,43,3.00
M,34,Sanson,5.0,5.0,Aston Villa,0,0.00
M,35,McGinn,5.7,5.7,Aston Villa,0,0.00
D,36,Hause,4.4,4.4,Aston Villa,0,0.00
M,37,Trézéguet,5.4,5.4,Aston Villa,0,0.00
D,38,Mings,5.0,5.0,Aston Villa,0,0.00
D,39,Targett,4.7,4.7,Newcastle,88,7.12
F,40,Watkins,7.4,7.4,Aston Villa,0,0.00
