Pos,ID,Name,BV,SV,Team,33_xMins,33_Pts,34_xMins,34_Pts,35_xMins,35_Pts,36_xMins,36_Pts,37_xMins,37_Pts,38_xMins,38_Pts
G,1,Leno,4.5,4.5,Arsenal,0,0.00,1,0.04,1,0.03,2,0.15,2,0.09,0,0.00
G,2,Rúnarsson,4.0,4.0,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,3,Willian,6.3,6.3,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
F,4,Aubameyang,9.6,9.6,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,5,Cédric,4.2,4.2,Arsenal,85,6.15,77,3.00,68,2.69,65,5.36,67,2.95,66,3.47
F,6,Lacazette,8.4,8.3,Arsenal,71,7.63,70,4.11,69,3.90,66,7.93,61,3.68,64,4.39
M,7,Xhaka,4.8,4.8,Arsenal,85,4.85,82,2.42,77,2.27,70,4.29,67,2.08,70,2.39
D,8,Marí,4.2,4.2,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,9,Bellerín,4.8,4.8,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,10,Chambers,4.2,4.2,Aston Villa,0,0.00,22,0.71,22,2.00,22,1.39,29,1.38,26,0.41
D,11,Kolasinac,4.2,4.2,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,12,Elneny,4.4,4.4,Arsenal,19,1.48,21,0.80,11,0.42,9,0.73,9,0.35,10,0.44
M,13,Maitland-Niles,5.2,5.2,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,14,Holding,4.1,4.1,Arsenal,21,1.56,24,0.93,18,0.68,19,1.48,22,0.92,25,1.27
M,15,Partey,5.0,5.0,Arsenal,7,0.49,30,1.03,58,1.94,76,5.13,77,2.60,76,2.85
D,16,Tierney,5.0,5.0,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,17,Pépé,6.9,6.9,Arsenal,16,2.12,17,1.23,19,1.41,20,2.94,23,1.69,24,1.97
M,18,Torreira,4.5,4.5,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,19,Willock,5.6,5.6,Newcastle,54,4.85,61,2.84,60,2.12,55,1.73,60,2.23,58,2.44
F,20,Nketiah,5.4,5.4,Arsenal,21,2.51,20,1.30,20,1.27,19,2.63,23,1.46,24,1.71
M,21,Smith Rowe,5.7,5.7,Arsenal,45,4.46,43,2.29,45,2.33,48,5.14,46,2.48,48,2.86
M,22,Saka,6.8,6.6,Arsenal,80,8.03,79,4.38,75,4.09,75,8.46,71,4.08,71,4.67
D,23,Gabriel,5.4,5.4,Arsenal,88,6.44,85,3.27,83,3.24,83,6.72,84,3.65,80,4.19
D,24,Mavropanos,4.5,4.5,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,25,Guendouzi,4.5,4.5,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,26,Martinelli,5.3,5.3,Arsenal,67,6.72,65,3.54,61,3.22,60,6.59,60,3.35,61,3.85
D,27,Saliba,4.5,4.5,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
G,28,Steer,3.9,3.9,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,29,Hourihane,4.9,4.9,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
G,30,Martínez,5.5,5.5,Aston Villa,0,0.00,90,3.46,88,7.93,88,6.88,87,3.96,88,3.10
D,31,Engels,4.5,4.5,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,32,Traoré,5.7,5.7,Aston Villa,0,0.00,2,0.17,2,0.27,2,0.36,2,0.17,3,0.19
M,33,Grealish,7.5,7.5,Man City,46,3.21,52,4.17,49,3.34,48,6.57,47,2.99,50,3.44
M,34,Sanson,5.0,5.0,Aston Villa,0,0.00,11,0.53,13,1.40,13,1.27,16,0.87,17,0.73
M,35,McGinn,5.7,5.7,Aston Villa,0,0.00,82,2.78,81,6.51,80,5.19,75,3.00,78,2.05
D,36,Hause,4.4,4.4,Aston Villa,0,0.00,1,0.03,1,0.09,2,0.15,3,0.13,4,0.10
M,37,Trézéguet,5.4,5.4,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,38,Mings,5.0,5.0,Aston Villa,0,0.00,86,2.51,83,7.41,82,4.74,80,3.62,79,0.97
D,39,Targett,4.7,4.7,Newcastle,88,6.99,84,3.57,83,1.75,81,0.98,83,2.48,80,3.00
F,40,Watkins,7.4,7.4,Aston Villa,0,0.00,81,3.67,78,8.54,78,6.66,74,3.96,75,2.47
M,41,Nakamba,4.4,4.4,Aston Villa,0,0.00,15,0.53,15,1.09,18,1.22,19,0.70,20,0.63
M,42,El Ghazi,5.6,5.6,Everton,6,0.46,5,0.34,9,0.52,11,1.38,10,1.29,13,0.66
M,43,Buendía,6.2,6.2,Aston Villa,0,0.00,39,1.89,37,4.14,38,3.50,42,2.28,43,1.56
D,44,Cash,5.2,5.2,Aston Villa,0,0.00,85,2.64,85,8.00,83,5.12,79,3.79,80,1.08
D,45,Konsa,4.9,4.9,Aston Villa,0,0.00,74,2.24,75,6.71,76,4.57,72,3.29,74,1.00
D,46,Guilbert,4.5,4.5,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
F,47,Wesley,5.4,5.4,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
F,48,Samatta,5.5,5.5,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
F,49,Davis,4.5,4.5,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,50,Douglas Luiz,4.4,4.4,Aston Villa,0,0.00,74,2.24,76,5.19,72,4.26,72,2.48,70,1.78
M,51,Ramsey,4.8,4.8,Aston Villa,0,0.00,75,2.69,73,6.28,73,5.08,71,3.01,69,1.98
D,52,Young,4.7,4.7,Aston Villa,0,0.00,46,1.69,16,1.68,19,1.56,25,1.32,23,0.59
M,53,Lallana,5.3,5.3,Brighton,29,2.28,30,1.46,35,1.54,34,1.45,35,1.51,35,1.59
G,54,Steele,3.9,3.9,Brighton,0,0.00,0,0.00,0,0.02,1,0.05,0,0.01,1,0.05
M,55,Groß,5.7,5.7,Brighton,53,4.08,52,2.78,57,2.65,55,2.56,55,2.66,54,2.80
D,56,Duffy,4.0,4.0,Brighton,4,0.22,8,0.35,9,0.37,11,0.37,14,0.49,15,0.62
M,57,Pröpper,4.5,4.5,Brighton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,58,Burn,4.4,4.4,Newcastle,88,6.80,86,3.58,83,1.67,81,0.91,82,2.40,81,2.95
D,59,Dunk,4.8,4.8,Brighton,87,3.48,85,3.48,81,3.36,82,2.69,80,2.61,80,3.27
M,60,March,5.3,5.3,Brighton,44,3.16,50,2.20,47,1.92,49,1.96,50,2.02,47,2.01
D,61,Webster,4.3,4.3,Brighton,61,2.45,61,2.39,62,2.44,63,2.03,62,1.96,62,2.40
D,62,Veltman,4.2,4.2,Brighton,77,3.02,72,2.75,72,2.83,70,2.22,73,2.27,69,2.65
F,63,Maupay,6.4,6.4,Brighton,52,3.96,55,3.00,56,2.57,51,2.44,55,2.71,58,2.98
M,64,Trossard,5.8,5.8,Brighton,63,4.57,62,3.17,64,2.83,62,2.74,61,2.80,63,3.08
G,65,Ryan,4.5,4.5,Brighton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,66,Jahanbakhsh,5.5,5.5,Brighton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,67,White,4.6,4.6,Arsenal,89,5.88,85,2.91,85,2.95,84,5.99,82,3.18,78,3.59
D,68,Bernardo,4.0,4.0,Brighton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
G,69,Sánchez,4.6,4.5,Brighton,90,6.48,89,3.79,89,3.90,88,3.49,89,3.47,88,3.77
