Pos,ID,Name,BV,SV,Team,34_xMins,34_Pts,35_xMins,35_Pts,36_xMins,36_Pts,37_xMins,37_Pts,38_xMins,38_Pts
G,1,Leno,4.5,4.5,Arsenal,0,0.01,0,0.01,2,0.13,3,0.13,2,0.08
G,2,Rúnarsson,4.0,4.0,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,3,Willian,6.3,6.3,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
F,4,Aubameyang,9.6,9.6,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,5,Cédric,4.2,4.2,Arsenal,86,3.20,79,3.03,69,5.59,64,2.81,61,3.15
F,6,Lacazette,8.4,8.3,Arsenal,68,3.99,69,3.85,63,7.62,64,3.66,63,4.28
M,7,Xhaka,4.8,4.8,Arsenal,85,2.52,77,2.29,77,4.75,74,2.27,69,2.39
D,8,Marí,4.2,4.2,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,9,Bellerín,4.8,4.8,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,10,Chambers,4.2,4.2,Aston Villa,10,0.34,17,1.51,21,1.46,20,0.93,25,0.43
D,11,Kolasinac,4.2,4.2,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,12,Elneny,4.4,4.4,Arsenal,14,0.58,17,0.69,14,1.19,12,0.49,9,0.41
M,13,Maitland-Niles,5.2,5.2,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,14,Holding,4.1,4.1,Arsenal,15,0.54,21,0.79,19,1.42,25,1.07,21,1.02
M,15,Partey,5.0,5.0,Arsenal,0,0.00,3,0.13,35,2.48,64,2.20,73,2.83
D,16,Tierney,5.0,5.0,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,17,Pépé,6.9,6.9,Arsenal,21,1.49,19,1.37,26,3.85,23,1.64,25,2.08
M,18,Torreira,4.5,4.5,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,19,Willock,5.6,5.6,Newcastle,45,2.12,58,2.06,59,1.84,59,2.32,57,2.42
F,20,Nketiah,5.4,5.4,Arsenal,21,1.34,19,1.11,20,2.70,21,1.37,20,1.44
M,21,Smith Rowe,5.7,5.7,Arsenal,60,2.88,57,2.69,53,5.27,53,2.69,51,2.96
M,22,Saka,6.8,6.6,Arsenal,80,4.36,78,4.06,76,8.44,74,4.07,72,4.75
D,23,Gabriel,5.4,5.4,Arsenal,89,3.38,85,3.25,83,6.71,79,3.42,82,4.21
D,24,Mavropanos,4.5,4.5,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,25,Guendouzi,4.5,4.5,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,26,Martinelli,5.3,5.3,Arsenal,65,3.52,69,3.50,63,6.91,56,3.10,59,3.73
D,27,Saliba,4.5,4.5,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
G,28,Steer,3.9,3.9,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,29,Hourihane,4.9,4.9,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
G,30,Martínez,5.5,5.5,Aston Villa,90,3.54,88,7.96,88,6.95,88,4.04,88,3.10
D,31,Engels,4.5,4.5,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,32,Traoré,5.7,5.7,Aston Villa,1,0.08,2,0.28,2,0.32,2,0.21,2,0.16
M,33,Grealish,7.5,7.5,Man City,43,3.29,44,2.96,45,3.27,50,5.96,51,3.56
M,34,Sanson,5.0,5.0,Aston Villa,8,0.47,12,1.23,14,1.32,16,0.88,14,0.58
M,35,McGinn,5.7,5.7,Aston Villa,86,3.02,82,6.85,81,5.37,79,3.22,80,2.10
D,36,Hause,4.4,4.4,Aston Villa,0,0.01,2,0.14,1,0.09,1,0.04,1,0.02
M,37,Trézéguet,5.4,5.4,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,38,Mings,5.0,5.0,Aston Villa,89,2.82,86,7.70,83,4.96,84,3.86,83,1.10
D,39,Targett,4.7,4.7,Newcastle,88,3.81,85,1.87,82,1.12,82,2.61,80,3.13
F,40,Watkins,7.4,7.4,Aston Villa,82,3.93,78,8.82,78,6.89,80,4.41,75,2.50
M,41,Nakamba,4.4,4.4,Aston Villa,12,0.42,15,1.10,16,1.14,17,0.64,22,0.70
M,42,El Ghazi,5.6,5.6,Everton,1,0.08,4,0.28,3,0.53,3,0.48,3,0.25
M,43,Buendía,6.2,6.2,Aston Villa,29,1.57,36,4.16,36,3.46,37,2.02,40,1.50
D,44,Cash,5.2,5.2,Aston Villa,88,2.98,84,7.97,83,5.31,83,4.06,84,1.20
D,45,Konsa,4.9,4.9,Aston Villa,82,2.69,79,7.06,77,4.70,76,3.51,72,1.07
D,46,Guilbert,4.5,4.5,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
F,47,Wesley,5.4,5.4,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
F,48,Samatta,5.5,5.5,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
F,49,Davis,4.5,4.5,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,50,Douglas Luiz,4.4,4.4,Aston Villa,80,2.46,76,5.35,76,4.51,71,2.50,69,1.77
M,51,Ramsey,4.7,4.7,Aston Villa,77,2.89,74,6.46,72,5.13,71,3.09,69,2.01
D,52,Young,4.7,4.7,Aston Villa,61,2.38,43,4.51,26,2.16,19,1.06,21,0.59
M,53,Lallana,5.3,5.3,Brighton,21,1.03,31,1.35,30,1.35,33,1.44,31,1.45
G,54,Steele,3.9,3.9,Brighton,0,0.00,1,0.02,0,0.01,0,0.00,0,0.02
M,55,Groß,5.7,5.7,Brighton,46,2.61,47,2.30,47,2.33,47,2.40,48,2.58
D,56,Duffy,4.0,4.0,Brighton,4,0.18,9,0.35,13,0.46,12,0.43,17,0.70
M,57,Pröpper,4.5,4.5,Brighton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,58,Burn,4.4,4.4,Newcastle,88,3.71,87,1.80,83,1.05,81,2.50,82,3.11
D,59,Dunk,4.8,4.8,Brighton,86,3.54,84,3.38,84,2.80,83,2.77,81,3.35
M,60,March,5.3,5.3,Brighton,21,1.06,25,1.12,27,1.18,30,1.34,34,1.53
D,61,Webster,4.3,4.3,Brighton,73,2.93,69,2.69,70,2.30,66,2.13,65,2.59
D,62,Veltman,4.2,4.2,Brighton,82,3.05,77,2.91,78,2.44,79,2.41,74,2.80
F,63,Maupay,6.4,6.4,Brighton,72,3.90,69,3.15,65,3.11,68,3.32,67,3.48
M,64,Trossard,5.8,5.8,Brighton,62,3.17,64,2.84,60,2.75,62,2.88,65,3.19
G,65,Ryan,4.5,4.5,Brighton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,66,Jahanbakhsh,5.5,5.5,Brighton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,67,White,4.6,4.6,Arsenal,89,3.03,86,2.96,84,6.03,81,3.14,80,3.71
D,68,Bernardo,4.0,4.0,Brighton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
G,69,Sánchez,4.6,4.5,Brighton,90,3.85,89,3.85,89,3.52,89,3.52,88,3.78
M,70,Bissouma,4.4,4.4,Brighton,75,2.53,68,2.24,69,2.21,68,2.19,67,2.27
D,71,Lamptey,4.5,4.5,Brighton,59,2.66,64,2.76,57,2.13,61,2.23,57,2.53
F,72,Connolly,5.3,5.3,Brighton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,73,Alzate,4.8,4.8,Brighton,0,0.04,2,0.15,3,0.22,4,0.26,4,0.27
M,74,Mac Allister,5.1,5.1,Brighton,66,3.11,68,2.79,69,2.85,62,2.71,64,2.91
M,75,Moder,4.5,4.5,Brighton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
