Pos,ID,Name,BV,SV,Team,4_xMins,4_Pts,5_xMins,5_Pts,6_xMins,6_Pts,7_xMins,7_Pts,8_xMins,8_Pts,9_xMins,9_Pts,10_xMins,10_Pts,11_xMins,11_Pts,12_xMins,12_Pts,13_xMins,13_Pts,14_xMins,14_Pts,15_xMins,15_Pts,Elite%
F,1,Balogun,4.4,4.4,Arsenal,6,0.39,11,0.66,13,0.78,13,0.83,12,0.64,13,0.66,11,0.71,13,0.71,13,0.84,13,0.77,14,0.86,14,0.84,0.00
D,2,Cédric,4.0,4.0,Arsenal,0,0.00,0,0.00,0,0.00,1,0.04,1,0.04,2,0.04,2,0.05,2,0.04,2,0.05,1,0.04,1,0.05,2,0.05,0.00
M,3,M.Elneny,4.4,4.4,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,4,Fábio Vieira,5.4,5.4,Arsenal,3,0.25,4,0.32,5,0.39,6,0.38,7,0.39,8,0.44,8,0.55,8,0.47,9,0.63,8,0.46,9,0.57,9,0.60,0.00
D,5,Gabriel,4.8,4.8,Arsenal,50,1.89,61,2.73,62,2.54,61,2.66,65,2.06,67,2.26,66,3.81,67,2.04,68,3.51,70,2.93,65,3.38,66,3.32,0.29
M,6,Havertz,7.3,7.3,Arsenal,65,3.72,60,3.54,61,3.81,60,3.72,62,2.94,59,2.95,58,4.32,60,2.85,57,3.98,58,3.25,56,3.91,57,3.70,0.12
D,7,Holding,4.4,4.4,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,1,0.06,1,0.04,0,0.00,1,0.05,2,0.10,2,0.05,0.00
F,8,G.Jesus,7.9,7.9,Arsenal,41,2.34,74,3.94,74,4.26,72,4.01,70,3.06,72,3.30,71,4.73,72,3.19,72,4.46,71,3.61,70,4.36,71,4.13,0.00
M,9,Jorginho,5.4,5.4,Arsenal,22,0.85,18,0.68,22,0.88,22,0.85,21,0.72,23,0.83,26,1.10,23,0.82,26,1.10,26,0.95,27,1.09,26,1.07,0.00
D,10,Kiwior,4.4,4.4,Arsenal,14,0.45,19,0.77,22,0.85,23,0.95,21,0.69,23,0.76,24,1.24,25,0.77,23,1.15,26,1.08,26,1.26,25,1.24,0.00
M,11,Marquinhos,4.5,4.5,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,12,Martinelli,8.0,8.0,Arsenal,79,4.75,76,4.60,73,4.68,72,4.56,70,3.40,69,3.58,70,5.35,68,3.34,67,4.81,66,3.81,66,4.73,67,4.48,0.41
F,13,Nketiah,5.6,5.6,Arsenal,42,2.33,22,1.33,23,1.41,25,1.50,26,1.26,24,1.27,23,1.66,24,1.17,22,1.51,23,1.32,23,1.50,21,1.31,0.00
M,14,Ødegaard,8.5,8.5,Arsenal,89,4.94,85,4.95,83,5.01,83,4.91,83,3.80,81,3.96,81,5.85,79,3.67,79,5.31,81,4.45,80,5.35,80,5.09,0.14
M,15,Thomas,4.9,4.9,Arsenal,69,2.22,60,2.04,59,2.04,61,2.08,60,1.75,59,1.77,61,2.44,60,1.77,60,2.27,60,1.94,60,2.23,60,2.18,0.00
M,16,Pepe,4.9,4.9,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
G,17,Ramsdale,5.0,5.0,Arsenal,66,2.61,65,2.79,63,2.54,60,2.51,57,2.14,58,2.19,57,2.80,54,2.00,57,2.67,91,3.72,55,2.52,54,2.50,0.00
G,18,Rúnarsson,4.0,4.0,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,19,Saka,8.7,8.6,Arsenal,88,5.30,85,5.21,83,5.44,80,5.17,80,3.87,77,3.97,76,5.92,76,3.68,76,5.50,77,4.51,77,5.58,77,5.29,0.98
D,20,Saliba,5.2,5.2,Arsenal,91,3.15,88,3.79,87,3.32,84,3.50,83,2.46,83,2.61,81,4.37,80,2.29,81,3.92,80,3.07,81,3.90,79,3.79,0.45
M,21,Sambi,4.9,4.9,Arsenal,1,0.06,0,0.00,1,0.06,1,0.06,1,0.05,2,0.10,2,0.12,2,0.10,3,0.17,2,0.11,3,0.16,3,0.11,0.00
M,22,Smith Rowe,5.4,5.4,Arsenal,6,0.42,6,0.35,8,0.56,9,0.61,10,0.56,10,0.53,13,0.91,12,0.63,12,0.86,13,0.81,12,0.86,13,0.83,0.00
D,23,Tavares,4.0,4.0,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,24,Tierney,4.4,4.4,Arsenal,1,0.04,2,0.05,2,0.09,3,0.09,3,0.07,4,0.11,4,0.16,4,0.11,4,0.15,3,0.13,4,0.15,3,0.15,0.00
D,25,Tomiyasu,4.5,4.5,Arsenal,22,0.97,30,1.45,29,1.37,32,1.53,33,1.22,34,1.34,32,1.86,34,1.22,33,1.79,35,1.63,35,1.90,35,1.86,0.00
M,26,Trossard,6.7,6.7,Arsenal,22,1.51,23,1.60,24,1.68,28,1.91,27,1.54,28,1.65,29,2.37,30,1.64,32,2.44,30,1.92,30,2.28,34,2.38,0.00
D,27,Trusty,4.0,4.0,Sheffield Utd,16,0.54,15,0.27,17,0.37,21,0.52,22,0.60,22,0.48,26,0.36,24,0.85,26,0.46,26,0.85,26,0.76,28,0.50,0.00
G,28,Turner,4.0,4.0,Nott'm Forest,94,3.17,92,3.70,91,3.02,90,3.45,90,3.27,88,3.77,88,2.88,89,3.19,89,3.17,88,3.12,88,3.54,89,3.25,0.97
D,29,White,5.5,5.5,Arsenal,82,3.22,80,3.73,79,3.31,76,3.43,76,2.47,75,2.55,74,4.31,75,2.36,72,3.85,72,3.03,74,3.88,73,3.75,0.00
