Pos,ID,Name,BV,SV,Team,6_xMins,6_Pts,7_xMins,7_Pts,8_xMins,8_Pts,9_xMins,9_Pts,10_xMins,10_Pts,11_xMins,11_Pts,12_xMins,12_Pts,13_xMins,13_Pts,14_xMins,14_Pts,15_xMins,15_Pts,16_xMins,16_Pts,17_xMins,17_Pts,Elite%,Mins 4,Mins 5,Mins 6,Mins 7,Mins 8,Mins 9,Mins 10,Mins 11,Mins 12,Mins 13,Mins 14,Mins 15,EV4,EV5,EV6,EV7,EV8,EV9,EV10,EV11,EV12,EV13,EV14,EV15,Max EV,Max Mins,Sum EV,Sum Mins,Logic,PosPr,PosPrTeam
M,348,Foden,9.3,9.3,Man City,78,4.94,78,5.6,75,5.25,75,6.51,76,4.89,76,4.49,76,5.02,74,3.85,75,5.52,75,4.67,74,5.05,74,4.36,0,78,78,75,75,76,76,76,74,75,75,74,74,4.94,5.6,5.25,6.51,4.89,4.49,5.02,3.85,5.52,4.67,5.05,4.36,6.51,78,60.15,906,TRUE,M9.3,M9.5Man City
M,345,De Bruyne,9.5,9.5,Man City,51,3.14,74,5.18,72,4.94,69,5.9,70,4.6,70,4.13,67,4.59,70,3.65,68,5.14,70,4.44,69,4.7,68,4.1,0,51,74,72,69,70,70,67,70,68,70,69,68,3.14,5.18,4.94,5.9,4.6,4.13,4.59,3.65,5.14,4.44,4.7,4.1,5.9,74,54.51,818,TRUE,M9.5,M9.5Man City
M,327,Luis Díaz,8,8,Liverpool,70,4.43,66,3.75,66,3.96,63,2.73,64,3.99,61,3.85,61,4.1,62,2.94,61,3.39,61,3.81,60,4.01,60,3.13,0.01,70,66,66,63,64,61,61,62,61,61,60,60,4.43,3.75,3.96,2.73,3.99,3.85,4.1,2.94,3.39,3.81,4.01,3.13,4.43,70,44.09,755,TRUE,M8,M8Liverpool
M,13,Ødegaard,8.2,8.2,Arsenal,0,0,0,0,0,0,24,1.29,62,3.22,83,3.99,81,5.12,83,4.44,82,4.78,82,4.36,81,5.44,82,4.31,0,0,0,0,24,62,83,81,83,82,82,81,82,0,0,0,1.29,3.22,3.99,5.12,4.44,4.78,4.36,5.44,4.31,5.44,83,36.95,660,TRUE,M8.2,M8Arsenal
M,366,B.Fernandes,8.3,8.4,Man Utd,89,5.42,86,4.54,86,5.89,83,4.78,85,5.17,82,5.97,82,5.12,80,5.82,82,3.36,80,5.53,81,3.18,80,5.57,0.53,89,86,86,83,85,82,82,80,82,80,81,80,5.42,4.54,5.89,4.78,5.17,5.97,5.12,5.82,3.36,5.53,3.18,5.57,5.97,89,60.35,996,TRUE,M8.4,M8.5Man Utd
M,385,Rashford,6.9,6.9,Man Utd,63,3.96,62,3.53,59,4.17,59,3.58,58,3.68,57,4.28,57,3.71,59,4.42,60,2.64,57,3.96,58,2.43,59,4.22,0,63,62,59,59,58,57,57,59,60,57,58,59,3.96,3.53,4.17,3.58,3.68,4.28,3.71,4.42,2.64,3.96,2.43,4.22,4.42,63,44.58,708,TRUE,M6.9,M7Man Utd
M,199,Eze,6.9,6.9,Crystal Palace,88,4.82,84,3.94,83,4.35,81,4.42,79,4.47,80,4.78,79,3.81,79,4.63,78,4.53,78,3.25,80,3.85,78,3.49,0.87,88,84,83,81,79,80,79,79,78,78,80,78,4.82,3.94,4.35,4.42,4.47,4.78,3.81,4.63,4.53,3.25,3.85,3.49,4.82,88,50.34,967,TRUE,M6.9,M7Crystal Palace
M,99,Mbeumo,7.2,7.2,Brentford,89,6.15,86,5.83,84,4.33,82,6.06,82,4.55,81,5.61,78,4.75,76,5.47,75,3.84,75,4.8,75,3.8,73,4.83,0.19,89,86,84,82,82,81,78,76,75,75,75,73,6.15,5.83,4.33,6.06,4.55,5.61,4.75,5.47,3.84,4.8,3.8,4.83,6.15,89,60.02,956,TRUE,M7.2,M7Brentford
M,9,Martinelli,6.9,6.9,Arsenal,66,4.71,59,4.34,56,3.34,53,2.93,48,2.76,57,3.02,42,2.91,41,2.51,43,2.73,41,2.42,44,3.14,42,2.48,0,66,59,56,53,48,57,42,41,43,41,44,42,4.71,4.34,3.34,2.93,2.76,3.02,2.91,2.51,2.73,2.42,3.14,2.48,4.71,66,37.29,592,TRUE,M6.9,M7Arsenal
M,23,Trossard,6.9,6.9,Arsenal,65,4.73,60,4.48,59,3.63,50,2.79,45,2.66,47,2.52,37,2.6,35,2.21,37,2.4,37,2.23,34,2.52,34,2.08,0,65,60,59,50,45,47,37,35,37,37,34,34,4.73,4.48,3.63,2.79,2.66,2.52,2.6,2.21,2.4,2.23,2.52,2.08,4.73,65,34.85,540,TRUE,M6.9,M7Arsenal
M,514,Bowen,7.5,7.5,West Ham,88,4.44,83,5.22,82,3.68,82,4.42,79,4.05,79,5.08,80,3.81,80,3.4,79,4.24,79,5.17,78,3.99,78,4.2,0,88,83,82,82,79,79,80,80,79,79,78,78,4.44,5.22,3.68,4.42,4.05,5.08,3.81,3.4,4.24,5.17,3.99,4.2,5.22,88,51.7,967,TRUE,M7.5,M7.5West Ham
M,494,Maddison,7.5,7.5,Spurs,72,3.73,69,3.71,66,4.62,66,3.7,65,3.96,63,4.53,64,2.52,62,4.01,63,3.56,62,3.67,62,4.02,62,3.32,0,72,69,66,66,65,63,64,62,63,62,62,62,3.73,3.71,4.62,3.7,3.96,4.53,2.52,4.01,3.56,3.67,4.02,3.32,4.62,72,45.35,776,TRUE,M7.5,M7.5Spurs
M,398,Gordon,7.3,7.3,Newcastle,88,3.42,86,4.29,82,4.39,80,3.52,81,3.32,78,3.9,78,4.53,79,3.79,77,3.6,78,3.86,77,4.76,77,4.2,0.09,88,86,82,80,81,78,78,79,77,78,77,77,3.42,4.29,4.39,3.52,3.32,3.9,4.53,3.79,3.6,3.86,4.76,4.2,4.76,88,47.58,961,TRUE,M7.3,M7.5Newcastle
M,317,Diogo J.,7.5,7.5,Liverpool,50,3.57,48,3.08,49,3.26,46,2.18,47,3.24,45,3.08,45,3.37,47,2.4,46,2.85,47,3.24,46,3.4,47,2.7,0.28,50,48,49,46,47,45,45,47,46,47,46,47,3.57,3.08,3.26,2.18,3.24,3.08,3.37,2.4,2.85,3.24,3.4,2.7,3.57,50,36.37,563,TRUE,M7.5,M7.5Liverpool
M,527,L.Paquetá,6,6,West Ham,78,3.64,74,4.07,71,2.9,70,3.41,67,3.03,68,3.77,67,2.94,66,2.63,67,3.3,67,3.82,66,3.1,69,3.36,0,78,74,71,70,67,68,67,66,67,67,66,69,3.64,4.07,2.9,3.41,3.03,3.77,2.94,2.63,3.3,3.82,3.1,3.36,4.07,78,39.97,830,TRUE,M6,M6West Ham
M,611,Szmodics,6,6,Ipswich,67,3.42,65,3.21,65,3.79,61,2.88,60,3.46,60,2.59,59,2.98,58,2.72,58,3.08,60,3.33,57,2.94,57,2.99,0,67,65,65,61,60,60,59,58,58,60,57,57,3.42,3.21,3.79,2.88,3.46,2.59,2.98,2.72,3.08,3.33,2.94,2.99,3.79,67,37.39,727,TRUE,M6,M6Ipswich
M,19,Smith Rowe,5.8,5.8,Fulham,71,3.23,68,2.4,66,3.14,65,3.1,66,3.41,64,2.8,62,3.47,64,2.67,63,3.01,67,2.63,63,2.37,63,3.67,0.23,71,68,66,65,66,64,62,64,63,67,63,63,3.23,2.4,3.14,3.1,3.41,2.8,3.47,2.67,3.01,2.63,2.37,3.67,3.67,71,35.9,782,TRUE,M5.8,M6Fulham
M,181,Nkunku,6.1,6.1,Chelsea,31,2.23,31,2.36,33,1.85,33,2.54,38,2.33,35,1.99,33,2.41,32,2.4,33,2.6,33,1.99,35,2.85,33,2.41,0.05,31,31,33,33,38,35,33,32,33,33,35,33,2.23,2.36,1.85,2.54,2.33,1.99,2.41,2.4,2.6,1.99,2.85,2.41,2.85,38,27.96,400,TRUE,M6.1,M6Chelsea
M,525,Kudus,6.3,6.3,West Ham,85,3.77,80,4.26,77,2.98,76,3.56,77,3.35,74,4.04,74,3.02,73,2.68,72,3.38,73,4.05,73,3.22,71,3.39,0,85,80,77,76,77,74,74,73,72,73,73,71,3.77,4.26,2.98,3.56,3.35,4.04,3.02,2.68,3.38,4.05,3.22,3.39,4.26,85,41.7,905,TRUE,M6.3,M6.5West Ham
M,492,Kulusevski,6.3,6.3,Spurs,73,3.06,71,3.13,70,3.72,67,3.06,65,3.23,64,3.71,62,2.11,62,3.25,63,2.98,62,2.98,62,3.24,62,2.66,0,73,71,70,67,65,64,62,62,63,62,62,62,3.06,3.13,3.72,3.06,3.23,3.71,2.11,3.25,2.98,2.98,3.24,2.66,3.72,73,37.13,783,TRUE,M6.3,M6.5Spurs
M,491,Johnson,6.4,6.4,Spurs,50,2.68,53,2.95,49,3.34,43,2.48,38,2.47,37,2.78,37,1.63,40,2.69,39,2.37,38,2.34,38,2.52,39,2.15,0,50,53,49,43,38,37,37,40,39,38,38,39,2.68,2.95,3.34,2.48,2.47,2.78,1.63,2.69,2.37,2.34,2.52,2.15,3.34,53,30.4,501,TRUE,M6.4,M6.5Spurs
M,433,Gibbs-White,6.4,6.4,Nott'm Forest,0,0,0,0,77,3.67,76,3.41,78,4.01,74,3.47,74,2.48,73,3.96,72,2.32,72,2.85,70,3.27,73,3.16,0.06,0,0,77,76,78,74,74,73,72,72,70,73,0,0,3.67,3.41,4.01,3.47,2.48,3.96,2.32,2.85,3.27,3.16,4.01,78,32.6,739,TRUE,M6.4,M6.5Nott'm Forest
M,531,Ward-Prowse,6.3,6.3,Nott'm Forest,78,3.35,78,2.73,65,2.73,65,2.63,0,0,64,2.73,62,1.94,58,2.73,58,1.75,59,2.1,56,2.39,56,2.19,0,78,78,65,65,0,64,62,58,58,59,56,56,3.35,2.73,2.73,2.63,0,2.73,1.94,2.73,1.75,2.1,2.39,2.19,3.35,78,27.27,699,TRUE,M6.3,M6.5Nott'm Forest
M,392,Barnes,6.5,6.5,Newcastle,61,2.75,60,3.32,59,3.44,57,2.78,56,2.61,56,3.08,57,3.52,56,2.98,54,2.76,56,3.08,55,3.64,56,3.38,0,61,60,59,57,56,56,57,56,54,56,55,56,2.75,3.32,3.44,2.78,2.61,3.08,3.52,2.98,2.76,3.08,3.64,3.38,3.64,61,37.34,683,TRUE,M6.5,M6.5Newcastle
M,394,Bruno G.,6.3,6.3,Newcastle,89,2.71,87,3.15,85,3.26,85,2.7,83,2.63,82,2.94,80,3.31,79,2.75,78,2.66,77,2.77,75,3.29,78,3.06,0,89,87,85,85,83,82,80,79,78,77,75,78,2.71,3.15,3.26,2.7,2.63,2.94,3.31,2.75,2.66,2.77,3.29,3.06,3.31,89,35.23,978,TRUE,M6.3,M6.5Newcastle
