Pos,ID,Name,BV,SV,Team,6_xMins,6_Pts,7_xMins,7_Pts,8_xMins,8_Pts,9_xMins,9_Pts,10_xMins,10_Pts,11_xMins,11_Pts,12_xMins,12_Pts,13_xMins,13_Pts,14_xMins,14_Pts,15_xMins,15_Pts,16_xMins,16_Pts,17_xMins,17_Pts,Elite%,,
D,44,Konsa,4.5,4.5,Aston Villa,91,3.42,89,2.87,87,2.78,85,3.27,85,1.75,83,1.51,82,3.2,83,1.82,82,3.26,82,3.59,81,2.63,82,1.87,0.65,4.5,4.5
D,36,Digne,4.6,4.6,Aston Villa,66,3.08,62,2.66,59,2.42,56,2.74,54,1.56,54,1.4,52,2.56,55,1.66,53,2.63,55,3.09,53,2.2,53,1.59,0.01,4.6,4.6
D,70,Kerkez,4.5,4.5,Bournemouth,81,3.54,78,2.81,73,1.83,72,1.88,70,1.48,69,2.18,72,2.46,69,2.43,69,1.88,68,2.53,67,2.58,67,1.53,0,4.5,4.5
D,85,Zabarnyi,4.5,4.5,Bournemouth,87,3.05,85,2.58,83,1.69,78,1.69,78,1.34,78,2.02,78,2.2,77,2.21,75,1.59,78,2.38,76,2.42,77,1.37,0,4.5,4.5
D,104,Pinnock,4.5,4.5,Brentford,90,3.18,85,3.04,82,1.76,81,3.42,82,2.46,80,2.92,79,2.6,81,3.33,79,1.93,79,2.23,77,1.49,78,2.92,0.02,4.5,4.5
D,88,Collins,4.5,4.5,Brentford,85,3,81,2.84,77,1.63,75,3.17,73,2.14,72,2.59,73,2.4,74,3.06,71,1.74,71,2.01,74,1.37,71,2.7,0,4.5,4.5
D,120,Dunk,4.6,4.5,Brighton,92,2.24,86,2.73,85,2.24,84,4,84,1.67,85,2.07,82,2.82,83,4,82,2.88,82,3.21,81,3.48,82,2.77,0.45,4.6,4.5
D,144,Van Hecke,4.5,4.5,Brighton,91,2.01,85,2.46,82,1.96,84,3.58,82,1.46,81,1.86,80,2.52,79,3.47,77,2.54,77,2.81,78,3.05,78,2.46,0,4.5,4.5
D,162,Colwill,4.5,4.5,Chelsea,89,3.25,84,3.69,82,1.69,79,2.7,78,2.03,80,2.3,79,3.04,79,2.94,77,2.95,77,1.83,78,3.21,78,2.9,0.01,4.5,4.5
D,189,W.Fofana,4.5,4.5,Chelsea,79,2.98,75,3.29,69,1.41,66,2.27,65,1.75,64,1.87,62,2.41,62,2.32,63,2.46,64,1.47,64,2.67,63,2.39,0,4.5,4.5
D,200,Guéhi,4.5,4.5,Crystal Palace,92,2.91,86,1.93,86,2.61,87,2.19,85,2.76,84,3.09,83,2.04,83,2.37,84,2.91,83,1.67,81,2.04,84,1.98,0.01,4.5,4.5
D,159,Chalobah,4.4,4.4,Crystal Palace,33,1.03,64,1.48,76,2.29,74,1.87,70,2.29,72,2.65,71,1.75,67,1.9,64,2.23,66,1.34,66,1.66,66,1.57,0,4.4,4.4
D,231,Mykolenko,4.4,4.4,Everton,37,1.37,69,2,83,2.78,80,2.88,80,2.61,79,2.15,78,2.81,78,1.55,79,3.06,79,1.66,80,1.21,77,1.93,0.04,4.4,4.4
