Pos,ID,Name,BV,SV,Team,7_xMins,7_Pts,8_xMins,8_Pts,9_xMins,9_Pts,10_xMins,10_Pts,11_xMins,11_Pts,12_xMins,12_Pts,13_xMins,13_Pts,14_xMins,14_Pts,15_xMins,15_Pts,16_xMins,16_Pts,17_xMins,17_Pts,Elite%,Mins 4,Mins 5,Mins 6,Mins 7,Mins 8,Mins 9,Mins 10,Mins 11,Mins 12,Mins 13,Mins 14,Mins 15,EV4,EV5,EV6,EV7,EV8,EV9,EV10,EV11,EV12,EV13,EV14,EV15,Max EV,Max Mins,Sum EV,Sum Mins,Logic,PosPr,PosPrTeam
D,44,Konsa,4.5,4.5,Aston Villa,91,2.84,87,2.72,85,1.71,85,1.4,82,3.23,83,1.83,81,3.24,81,3.63,82,2.75,83,1.85,81,2.03,0.33,91,87,86,85,85,82,83,81,81,82,83,81,2.84,2.72,3.14,1.71,1.4,3.23,1.83,3.24,3.63,2.75,1.85,2.03,3.63,91,30.37,1007,TRUE,D4.5,D4.5Aston Villa
D,52,Pau,4.5,4.5,Aston Villa,89,2.75,83,2.61,78,1.6,75,1.28,76,3.04,77,1.71,73,2.94,73,3.24,71,2.49,72,1.65,72,1.82,0.01,89,83,82,78,75,76,77,73,73,71,72,72,2.75,2.61,2.99,1.6,1.28,3.04,1.71,2.94,3.24,2.49,1.65,1.82,3.24,89,28.12,921,TRUE,D4.5,D4.5Aston Villa
D,70,Kerkez,4.5,4.5,Bournemouth,82,3.04,80,1.98,75,1.66,73,2.41,72,2.6,71,2.57,70,1.96,71,2.62,68,2.7,72,1.73,69,2.77,0,82,80,78,75,73,72,71,70,71,68,72,69,3.04,1.98,2.05,1.66,2.41,2.6,2.57,1.96,2.62,2.7,1.73,2.77,3.04,82,28.09,881,TRUE,D4.5,D4.5Bournemouth
D,85,Zabarnyi,4.5,4.5,Bournemouth,89,2.7,84,1.69,81,1.45,80,2.16,80,2.31,79,2.36,78,1.67,78,2.42,78,2.49,78,1.49,76,2.53,0,89,84,83,81,80,80,79,78,78,78,78,76,2.7,1.69,1.78,1.45,2.16,2.31,2.36,1.67,2.42,2.49,1.49,2.53,2.7,89,25.05,964,TRUE,D4.5,D4.5Bournemouth
D,104,Pinnock,4.5,4.5,Brentford,90,3.46,87,2,83,2.21,82,2.7,81,2.52,81,3.28,81,1.81,79,2.22,79,1.41,80,3,81,1.87,0.05,90,87,86,83,82,81,81,81,79,79,80,81,3.46,2,3.51,2.21,2.7,2.52,3.28,1.81,2.22,1.41,3,1.87,3.51,90,29.99,990,TRUE,D4.5,D4.5Brentford
D,88,Collins,4.5,4.5,Brentford,89,3.25,83,1.83,80,2.08,78,2.53,78,2.38,75,2.93,77,1.66,76,2.11,75,1.3,75,2.72,75,1.67,0.01,89,83,80,80,78,78,75,77,76,75,75,75,3.25,1.83,3.14,2.08,2.53,2.38,2.93,1.66,2.11,1.3,2.72,1.67,3.25,89,27.6,941,TRUE,D4.5,D4.5Brentford
D,120,Dunk,4.6,4.5,Brighton,92,2.6,91,2.48,87,1.45,87,2.01,85,2.6,84,4.01,83,2.67,81,3.1,81,3.41,82,2.67,81,3.44,0.31,92,91,89,87,87,85,84,83,81,81,82,81,2.6,2.48,4.06,1.45,2.01,2.6,4.01,2.67,3.1,3.41,2.67,3.44,4.06,92,34.5,1023,TRUE,D4.5,D4.5Brighton
D,144,Van Hecke,4.5,4.5,Brighton,69,1.72,88,2.17,84,1.24,82,1.73,80,2.21,80,3.43,81,2.38,81,2.79,79,2.97,80,2.32,78,2.98,0,69,88,85,84,82,80,80,81,81,79,80,78,1.72,2.17,3.48,1.24,1.73,2.21,3.43,2.38,2.79,2.97,2.32,2.98,3.48,88,29.42,967,TRUE,D4.5,D4.5Brighton
D,162,Colwill,4.5,4.5,Chelsea,89,3.8,85,1.8,82,2.14,81,2.35,81,3.15,80,2.86,79,3.09,79,1.74,78,3.29,79,2.93,79,3.12,0.05,89,85,85,82,81,81,80,79,79,78,79,79,3.8,1.8,2.89,2.14,2.35,3.15,2.86,3.09,1.74,3.29,2.93,3.12,3.8,89,33.16,977,TRUE,D4.5,D4.5Chelsea
D,189,W.Fofana,4.5,4.5,Chelsea,80,3.41,64,1.38,66,1.72,65,1.96,63,2.48,64,2.34,66,2.66,65,1.47,64,2.68,63,2.4,65,2.62,0,80,64,62,66,65,63,64,66,65,64,63,65,3.41,1.38,2.15,1.72,1.96,2.48,2.34,2.66,1.47,2.68,2.4,2.62,3.41,80,27.27,787,TRUE,D4.5,D4.5Chelsea
D,200,Guéhi,4.4,4.4,Crystal Palace,92,1.82,90,2.9,86,2.81,85,3.03,86,2.03,85,2.49,84,2.86,84,1.69,83,2.04,83,2.04,83,2.21,0.01,92,90,87,86,85,86,85,84,84,83,83,83,1.82,2.9,2.12,2.81,3.03,2.03,2.49,2.86,1.69,2.04,2.04,2.21,3.03,92,28.04,1028,TRUE,D4.4,D4.5Crystal Palace
D,650,Lacroix,4.5,4.5,Crystal Palace,81,1.66,77,2.53,65,2.15,65,2.28,63,1.55,57,1.68,58,1.92,56,1.13,57,1.4,57,1.37,57,1.52,0,81,77,67,65,65,63,57,58,56,57,57,57,1.66,2.53,1.66,2.15,2.28,1.55,1.68,1.92,1.13,1.4,1.37,1.52,2.53,81,20.85,760,TRUE,D4.5,D4.5Crystal Palace
D,231,Mykolenko,4.3,4.3,Everton,91,2.56,86,2.76,82,2.71,81,2.18,79,2.86,81,1.65,78,3.12,80,1.54,78,1.33,78,1.97,77,0.97,0.35,91,86,82,82,81,79,81,78,80,78,78,77,2.56,2.76,2.85,2.71,2.18,2.86,1.65,3.12,1.54,1.33,1.97,0.97,3.12,91,26.5,973,TRUE,D4.3,D4.5Everton
D,238,Young,4.5,4.5,Everton,83,2.51,67,2.29,60,2.16,57,1.7,58,2.27,57,1.28,55,2.31,56,1.22,54,1.03,56,1.54,54,0.8,0,83,67,58,60,57,58,57,55,56,54,56,54,2.51,2.29,2.11,2.16,1.7,2.27,1.28,2.31,1.22,1.03,1.54,0.8,2.51,83,21.22,715,TRUE,D4.5,D4.5Everton
D,191,Andersen,4.4,4.4,Fulham,92,1.27,89,2.82,86,3.3,83,2.5,83,3.42,81,1.5,81,2.62,80,2.04,80,1.16,79,3.37,78,1.58,0.01,92,89,87,86,83,83,81,81,80,80,79,78,1.27,2.82,2.92,3.3,2.5,3.42,1.5,2.62,2.04,1.16,3.37,1.58,3.42,92,28.5,999,TRUE,D4.4,D4.5Fulham
