Pos,ID,Name,BV,SV,Team,8_xMins,8_Pts,9_xMins,9_Pts,10_xMins,10_Pts,11_xMins,11_Pts,12_xMins,12_Pts,13_xMins,13_Pts,14_xMins,14_Pts,15_xMins,15_Pts,16_xMins,16_Pts,17_xMins,17_Pts,18_xMins,18_Pts,Elite%,Mins 4,Mins 5,Mins 6,Mins 7,Mins 8,Mins 9,Mins 10,Mins 11,Mins 12,Mins 13,Mins 14,Mins 15,EV4,EV5,EV6,EV7,EV8,EV9,EV10,EV11,EV12,EV13,EV14,EV15,Max EV,Max Mins,Sum EV,Sum Mins,Logic,PosPr,PosPrTeam
D,44,Konsa,4.5,4.5,Aston Villa,68,2,87,1.73,86,1.44,86,3.34,84,1.77,83,3.22,83,3.6,83,2.8,82,1.77,84,2.01,82,2.75,0.3,68,87,87,86,86,84,83,83,83,82,84,82,2,3.47,1.73,1.44,3.34,1.77,3.22,3.6,2.8,1.77,2.01,2.75,3.6,87,29.9,995,TRUE,D4.5,D4.5Aston Villa
D,36,Digne,4.6,4.6,Aston Villa,65,2.41,61,1.72,60,1.45,58,2.89,58,1.68,55,2.77,56,3.14,58,2.44,56,1.66,56,1.86,55,2.37,0.01,65,65,61,60,58,58,55,56,58,56,56,55,2.41,3.28,1.72,1.45,2.89,1.68,2.77,3.14,2.44,1.66,1.86,2.37,3.28,65,27.67,703,TRUE,D4.6,D4.5Aston Villa
D,70,Kerkez,4.5,4.5,Bournemouth,83,2.09,77,1.66,76,2.44,76,2.61,76,2.61,74,2.07,71,2.57,71,2.75,72,1.7,70,2.78,69,2.04,0,83,80,77,76,76,76,74,71,71,72,70,69,2.09,2.08,1.66,2.44,2.61,2.61,2.07,2.57,2.75,1.7,2.78,2.04,2.78,83,27.4,895,TRUE,D4.5,D4.5Bournemouth
D,85,Zabarnyi,4.5,4.5,Bournemouth,89,1.84,83,1.41,80,2.12,81,2.28,78,2.22,78,1.68,77,2.29,77,2.43,77,1.43,77,2.55,77,1.89,0,89,87,83,80,81,78,78,77,77,77,77,77,1.84,1.86,1.41,2.12,2.28,2.22,1.68,2.29,2.43,1.43,2.55,1.89,2.55,89,24,961,TRUE,D4.5,D4.5Bournemouth
D,104,Pinnock,4.5,4.5,Brentford,91,1.96,84,2.27,84,2.8,81,2.62,80,3.25,80,1.87,80,2.32,80,1.49,80,3.05,80,1.91,81,1.97,0.05,91,88,84,84,81,80,80,80,80,80,80,81,1.96,3.78,2.27,2.8,2.62,3.25,1.87,2.32,1.49,3.05,1.91,1.97,3.78,91,29.29,989,TRUE,D4.5,D4.5Brentford
D,88,Collins,4.5,4.5,Brentford,90,1.88,84,2.18,82,2.71,81,2.52,81,3.19,81,1.82,80,2.28,79,1.39,78,2.89,77,1.77,79,1.85,0.01,90,86,84,82,81,81,81,80,79,78,77,79,1.88,3.56,2.18,2.71,2.52,3.19,1.82,2.28,1.39,2.89,1.77,1.85,3.56,90,28.04,978,TRUE,D4.5,D4.5Brentford
D,120,Dunk,4.5,4.5,Brighton,92,2.46,89,1.56,86,1.94,85,2.59,84,3.96,84,2.6,82,3.07,81,3.38,80,2.6,81,3.37,80,2.23,0.31,92,91,89,86,85,84,84,82,81,80,81,80,2.46,4.14,1.56,1.94,2.59,3.96,2.6,3.07,3.38,2.6,3.37,2.23,4.14,92,33.9,1015,TRUE,D4.5,D4.5Brighton
D,144,Van Hecke,4.5,4.5,Brighton,0,0,35,0.57,70,1.45,83,2.27,82,3.48,81,2.34,80,2.76,79,3.04,80,2.35,79,3.06,79,2,0,0,0,35,70,83,82,81,80,79,80,79,79,0,0,0.57,1.45,2.27,3.48,2.34,2.76,3.04,2.35,3.06,2,3.48,83,23.32,748,TRUE,D4.5,D4.5Brighton
D,162,Colwill,4.6,4.6,Chelsea,89,1.81,82,2.23,82,2.49,82,3.18,79,2.91,79,3.15,78,1.86,79,3.35,79,2.98,77,3.11,75,2.95,0.06,89,86,82,82,82,79,79,78,79,79,77,75,1.81,3.04,2.23,2.49,3.18,2.91,3.15,1.86,3.35,2.98,3.11,2.95,3.35,89,33.06,967,TRUE,D4.6,D4.5Chelsea
D,189,W.Fofana,4.5,4.5,Chelsea,0,0,74,2.05,73,2.21,72,2.85,70,2.62,73,2.93,71,1.72,69,2.94,72,2.75,71,2.87,69,2.72,0,0,0,74,73,72,70,73,71,69,72,71,69,0,0,2.05,2.21,2.85,2.62,2.93,1.72,2.94,2.75,2.87,2.72,2.94,74,25.66,714,TRUE,D4.5,D4.5Chelsea
D,200,Guéhi,4.4,4.4,Crystal Palace,92,2.97,88,2.85,87,3.16,86,2.1,86,2.63,85,2.91,84,1.74,85,2.12,84,2.15,83,2.26,84,3.52,0.01,92,89,88,87,86,86,85,84,85,84,83,84,2.97,2.47,2.85,3.16,2.1,2.63,2.91,1.74,2.12,2.15,2.26,3.52,3.52,92,30.88,1033,TRUE,D4.4,D4.5Crystal Palace
D,159,Chalobah,4.4,4.4,Crystal Palace,71,2.25,75,2.47,74,2.63,73,1.77,67,2.01,65,2.2,65,1.34,64,1.61,65,1.69,65,1.76,63,2.61,0,71,80,75,74,73,67,65,65,64,65,65,63,2.25,2.22,2.47,2.63,1.77,2.01,2.2,1.34,1.61,1.69,1.76,2.61,2.63,80,24.56,827,TRUE,D4.4,D4.5Crystal Palace
D,238,Young,4.5,4.5,Everton,89,2.92,62,2.19,60,1.73,60,2.29,60,1.34,60,2.46,58,1.34,57,1.07,57,1.56,58,0.81,55,2.2,0,89,76,62,60,60,60,60,58,57,57,58,55,2.92,2.89,2.19,1.73,2.29,1.34,2.46,1.34,1.07,1.56,0.81,2.2,2.92,89,22.8,752,TRUE,D4.5,D4.5Everton
D,231,Mykolenko,4.3,4.3,Everton,0,0,72,2.36,82,2.2,81,2.9,80,1.64,79,3.06,78,1.65,79,1.28,79,1.97,78,0.94,78,2.89,0.35,0,34,72,82,81,80,79,78,79,79,78,78,0,1.29,2.36,2.2,2.9,1.64,3.06,1.65,1.28,1.97,0.94,2.89,3.06,82,22.18,820,TRUE,D4.3,D4.5Everton
D,191,Andersen,4.4,4.4,Fulham,90,2.92,88,3.38,86,2.71,84,3.46,82,1.61,82,2.76,82,2.14,81,1.34,81,3.55,78,1.61,81,2.87,0.01,90,90,88,86,84,82,82,82,81,81,78,81,2.92,2.94,3.38,2.71,3.46,1.61,2.76,2.14,1.34,3.55,1.61,2.87,3.55,90,31.29,1005,TRUE,D4.4,D4.5Fulham
D,255,Robinson,4.7,4.7,Fulham,87,2.96,81,3.25,79,2.54,77,3.28,77,1.55,76,2.66,74,2.03,73,1.28,73,3.28,73,1.55,72,2.65,0.04,87,83,81,79,77,77,76,74,73,73,73,72,2.96,2.81,3.25,2.54,3.28,1.55,2.66,2.03,1.28,3.28,1.55,2.65,3.28,87,29.84,925,TRUE,D4.7,D4.5Fulham
