Pos,ID,Name,BV,SV,Team,9_xMins,9_Pts,10_xMins,10_Pts,11_xMins,11_Pts,12_xMins,12_Pts,13_xMins,13_Pts,14_xMins,14_Pts,15_xMins,15_Pts,16_xMins,16_Pts,17_xMins,17_Pts,18_xMins,18_Pts,19_xMins,19_Pts,Elite%,Mins 4,Mins 5,Mins 6,Mins 7,Mins 8,Mins 9,Mins 10,Mins 11,Mins 12,Mins 13,Mins 14,Mins 15,EV4,EV5,EV6,EV7,EV8,EV9,EV10,EV11,EV12,EV13,EV14,EV15,Max EV,Max Mins,Sum EV,Sum Mins,Logic,PosPr,PosPrTeam
D,32,Cash,4.4,4.4,Aston Villa,59,1.69,56,1.26,58,2.7,60,1.62,57,2.53,59,3,57,2.2,58,1.66,57,1.72,57,2.35,55,2.8,0,63,59,56,58,60,57,59,57,58,57,57,55,2.65,1.69,1.26,2.7,1.62,2.53,3,2.2,1.66,1.72,2.35,2.8,3,63,26.18,696,TRUE,D4.4,D4.5Aston Villa
D,44,Konsa,4.5,4.5,Aston Villa,86,1.97,85,1.48,82,3.37,82,1.83,82,3.12,80,3.5,80,2.79,82,1.94,81,2.01,79,2.73,78,3.48,0.22,87,86,85,82,82,82,80,80,82,81,79,78,3.15,1.97,1.48,3.37,1.83,3.12,3.5,2.79,1.94,2.01,2.73,3.48,3.5,87,31.37,984,TRUE,D4.5,D4.5Aston Villa
D,52,Pau,4.5,4.5,Aston Villa,81,1.83,75,1.31,75,3.05,75,1.65,74,2.83,74,3.17,74,2.55,74,1.75,75,1.84,73,2.53,72,3.11,0.01,84,81,75,75,75,74,74,74,74,75,73,72,2.99,1.83,1.31,3.05,1.65,2.83,3.17,2.55,1.75,1.84,2.53,3.11,3.17,84,28.61,906,TRUE,D4.5,D4.5Aston Villa
D,70,Kerkez,4.4,4.4,Bournemouth,80,1.93,78,2.52,76,2.77,76,2.72,72,2.03,72,2.72,73,2.94,70,1.81,71,3.02,71,2.23,70,3.07,0,83,80,78,76,76,72,72,73,70,71,71,70,2.32,1.93,2.52,2.77,2.72,2.03,2.72,2.94,1.81,3.02,2.23,3.07,3.07,83,30.08,892,TRUE,D4.4,D4.5Bournemouth
D,85,Zabarnyi,4.4,4.4,Bournemouth,86,1.71,83,2.2,80,2.35,79,2.32,78,1.71,77,2.4,79,2.61,78,1.57,78,2.7,77,2,79,2.82,0,89,86,83,80,79,78,77,79,78,78,77,79,2.04,1.71,2.2,2.35,2.32,1.71,2.4,2.61,1.57,2.7,2,2.82,2.82,89,26.43,963,TRUE,D4.4,D4.5Bournemouth
D,92,Henry,4.3,4.3,Brentford,67,2.08,75,2.61,75,2.53,75,3.26,74,1.91,73,2.31,72,1.52,74,2.95,73,1.9,72,1.93,72,2.47,0,34,67,75,75,75,74,73,72,74,73,72,72,1.48,2.08,2.61,2.53,3.26,1.91,2.31,1.52,2.95,1.9,1.93,2.47,3.26,75,26.95,836,TRUE,D4.3,D4.5Brentford
D,104,Pinnock,4.5,4.5,Brentford,88,2.56,87,2.8,85,2.69,83,3.44,82,1.94,82,2.41,80,1.5,79,3.02,80,1.94,79,2,79,2.54,0.05,91,88,87,85,83,82,82,80,79,80,79,79,3.66,2.56,2.8,2.69,3.44,1.94,2.41,1.5,3.02,1.94,2,2.54,3.66,91,30.5,995,TRUE,D4.5,D4.5Brentford
D,120,Dunk,4.5,4.5,Brighton,90,1.72,89,2.05,88,2.47,87,3.85,85,2.63,84,3.14,82,3.44,83,2.62,80,3.21,81,2.2,80,2.28,0.33,92,90,89,88,87,85,84,82,83,80,81,80,4.03,1.72,2.05,2.47,3.85,2.63,3.14,3.44,2.62,3.21,2.2,2.28,4.03,92,33.64,1021,TRUE,D4.5,D4.5Brighton
D,144,Van Hecke,4.5,4.5,Brighton,88,1.53,86,1.85,85,2.23,83,3.42,82,2.38,80,2.81,78,3.04,79,2.31,79,2.92,79,1.96,78,2.09,0,90,88,86,85,83,82,80,78,79,79,79,78,3.58,1.53,1.85,2.23,3.42,2.38,2.81,3.04,2.31,2.92,1.96,2.09,3.58,90,30.12,987,TRUE,D4.5,D4.5Brighton
D,189,W.Fofana,4.5,4.5,Chelsea,79,2.23,76,2.34,76,3.03,73,2.68,73,2.79,71,1.56,70,2.96,69,2.59,68,2.8,70,2.76,70,2.55,0,82,79,76,76,73,73,71,70,69,68,70,70,2.86,2.23,2.34,3.03,2.68,2.79,1.56,2.96,2.59,2.8,2.76,2.55,3.03,82,31.15,877,TRUE,D4.5,D4.5Chelsea
