Pos,ID,Name,BV,SV,Team,25_xMins,25_Pts,26_xMins,26_Pts,27_xMins,27_Pts,28_xMins,28_Pts,29_xMins,29_Pts,30_xMins,30_Pts,31_xMins,31_Pts,32_xMins,32_Pts,33_xMins,33_Pts
D,1,Cédric,4.2,4.2,Fulham,13,0.54,16,0.53,19,0.60,18,0.47,19,0.78,20,0.82,21,0.83,21,0.49,23,0.81
G,2,Leno,4.5,4.5,Fulham,89,3.86,87,3.34,87,3.32,87,3.12,85,3.55,85,3.60,84,3.53,83,2.02,84,3.35
M,3,Xhaka,4.9,4.9,Arsenal,76,6.03,74,3.19,71,2.57,70,2.84,68,2.79,64,2.10,65,2.27,64,1.72,64,1.92
M,4,Elneny,4.1,4.1,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,5,Holding,4.2,4.2,Arsenal,2,0.15,2,0.11,3,0.13,4,0.20,5,0.19,6,0.17,4,0.17,6,0.19,6,0.15
M,6,Partey,4.7,4.7,Arsenal,34,2.64,68,2.74,69,2.41,69,2.68,69,2.65,69,2.15,69,2.28,67,1.70,65,1.88
M,7,Ødegaard,7.0,7.0,Arsenal,81,9.62,81,5.26,80,4.24,78,4.71,77,4.85,76,3.60,75,3.77,75,3.07,76,2.96
D,8,Tierney,4.6,4.6,Arsenal,13,1.29,16,0.85,15,0.71,16,0.90,17,0.85,18,0.69,18,0.83,16,0.57,18,0.56
M,9,Pépé,5.3,5.3,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,10,White,4.7,4.7,Arsenal,70,7.17,70,4.08,70,3.19,68,3.93,68,3.57,67,2.31,67,2.92,69,2.52,66,1.75
F,11,Nketiah,6.8,6.8,Arsenal,79,9.53,74,4.91,59,3.27,39,2.44,30,2.01,30,1.58,30,1.64,29,1.29,33,1.48
M,12,Smith Rowe,5.6,5.6,Arsenal,5,0.74,8,0.58,8,0.46,10,0.68,14,0.97,20,1.06,23,1.27,25,1.08,24,1.16
M,13,Saka,8.4,8.2,Arsenal,84,11.45,81,6.18,79,4.85,77,5.49,76,5.55,76,4.12,72,4.18,70,3.42,72,3.24
D,14,Tomiyasu,4.2,4.2,Arsenal,26,2.59,28,1.57,33,1.49,36,1.95,37,1.84,40,1.34,41,1.73,40,1.42,40,1.05
