Pos,ID,Name,BV,SV,Team,34_xMins,34_Pts,35_xMins,35_Pts,36_xMins,36_Pts,37_xMins,37_Pts,38_xMins,38_Pts
G,1,Leno,4.5,4.5,Arsenal,0,0.01,0,0.01,1,0.09,1,0.06,2,0.08
G,2,Rúnarsson,4.0,4.0,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,3,Willian,6.3,6.3,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
F,4,Aubameyang,9.6,9.6,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,5,Cédric,4.2,4.2,Arsenal,83,3.19,74,2.92,61,5.04,65,2.85,56,2.92
F,6,Lacazette,8.4,8.3,Arsenal,32,2.05,42,2.49,45,5.65,37,2.28,46,3.22
M,7,Xhaka,4.8,4.8,Arsenal,83,2.51,82,2.44,81,4.96,80,2.43,72,2.49
D,8,Marí,4.2,4.2,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,9,Bellerín,4.8,4.8,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,10,Chambers,4.2,4.2,Aston Villa,10,0.36,19,0.91,21,1.36,23,2.04,26,0.45
D,11,Kolasinac,4.2,4.2,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,12,Elneny,4.4,4.4,Arsenal,10,0.43,12,0.48,14,1.16,15,0.60,13,0.53
M,13,Maitland-Niles,5.2,5.2,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,14,Holding,4.1,4.1,Arsenal,9,0.29,19,0.70,17,1.31,20,0.82,15,0.70
M,15,Partey,5.0,5.0,Arsenal,0,0.00,0,0.00,0,0.00,6,0.24,26,1.06
D,16,Tierney,5.0,5.0,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,17,Pépé,6.9,6.9,Arsenal,24,1.76,24,1.70,24,3.69,27,1.94,27,2.26
M,18,Torreira,4.5,4.5,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,19,Willock,5.6,5.6,Newcastle,47,2.24,45,1.61,58,1.78,56,2.15,52,2.11
F,20,Nketiah,5.4,5.4,Arsenal,43,2.45,36,2.02,37,4.29,43,2.40,34,2.16
M,21,Smith Rowe,5.7,5.7,Arsenal,61,3.07,58,2.85,56,5.62,57,2.85,54,3.06
M,22,Saka,6.8,6.6,Arsenal,80,4.36,76,4.06,77,8.66,74,4.06,78,4.94
D,23,Gabriel,5.4,5.4,Arsenal,89,3.46,86,3.29,85,6.74,81,3.44,85,4.30
D,24,Mavropanos,4.5,4.5,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,25,Guendouzi,4.5,4.5,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,26,Martinelli,5.3,5.3,Arsenal,65,3.53,64,3.37,67,7.22,63,3.33,63,3.90
D,27,Saliba,4.5,4.5,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
G,28,Steer,3.9,3.9,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,29,Hourihane,4.9,4.9,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
G,30,Martínez,5.5,5.5,Aston Villa,90,3.56,89,4.12,89,6.93,88,7.77,86,3.03
D,31,Engels,4.5,4.5,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,32,Traoré,5.7,5.7,Aston Villa,1,0.10,3,0.29,1,0.17,2,0.27,1,0.07
M,33,Grealish,7.5,7.5,Man City,44,3.42,53,3.54,47,6.22,47,2.92,45,3.20
M,34,Sanson,5.0,5.0,Aston Villa,8,0.47,11,0.65,15,1.38,16,1.69,19,0.78
M,35,McGinn,5.6,5.6,Aston Villa,85,2.99,83,3.67,81,5.17,78,5.86,75,1.99
D,36,Hause,4.4,4.4,Aston Villa,1,0.03,1,0.04,1,0.07,1,0.10,1,0.04
M,37,Trézéguet,5.4,5.4,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,38,Mings,5.0,5.0,Aston Villa,88,2.84,84,4.09,84,4.72,84,6.92,81,1.06
D,39,Targett,4.7,4.7,Newcastle,88,3.74,86,1.84,85,1.16,83,2.69,84,3.14
F,40,Watkins,7.4,7.4,Aston Villa,81,3.85,77,4.72,79,6.55,77,7.64,75,2.47
M,41,Nakamba,4.4,4.4,Aston Villa,9,0.34,11,0.44,17,1.18,19,1.35,23,0.70
M,42,El Ghazi,5.6,5.6,Everton,1,0.08,2,0.17,3,0.59,2,0.44,4,0.29
M,43,Buendía,6.2,6.2,Aston Villa,32,1.70,32,2.04,35,3.26,37,3.84,39,1.45
D,44,Cash,5.2,5.2,Aston Villa,88,3.01,84,4.34,85,5.06,81,7.17,81,1.16
D,45,Konsa,4.9,4.9,Aston Villa,82,2.72,80,3.84,76,4.47,73,6.19,72,1.05
D,46,Guilbert,4.5,4.5,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
F,47,Wesley,5.4,5.4,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
F,48,Samatta,5.5,5.5,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
F,49,Davis,4.5,4.5,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,50,Douglas Luiz,4.4,4.4,Aston Villa,82,2.49,77,2.82,74,4.32,74,4.85,69,1.76
M,51,Ramsey,4.7,4.7,Aston Villa,78,2.90,76,3.47,73,5.04,69,5.61,68,1.97
D,52,Young,4.7,4.7,Aston Villa,65,2.53,41,2.32,18,1.48,20,2.01,17,0.48
M,53,Lallana,5.3,5.3,Brighton,38,1.78,27,1.25,26,1.23,28,1.34,32,1.55
G,54,Steele,3.9,3.9,Brighton,0,0.01,1,0.05,0,0.01,1,0.04,1,0.05
M,55,Groß,5.7,5.7,Brighton,75,3.88,58,2.76,60,2.94,55,2.83,54,2.96
D,56,Duffy,4.0,4.0,Brighton,2,0.10,7,0.27,13,0.47,12,0.43,11,0.48
M,57,Pröpper,4.5,4.5,Brighton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,58,Burn,4.4,4.4,Newcastle,89,3.63,85,1.75,85,1.09,82,2.59,82,3.00
D,59,Dunk,4.8,4.8,Brighton,88,3.70,85,3.42,82,2.90,82,2.81,81,3.41
M,60,March,5.3,5.3,Brighton,31,1.43,34,1.49,34,1.47,27,1.24,32,1.49
D,61,Webster,4.3,4.3,Brighton,42,1.78,43,1.72,46,1.60,57,1.89,47,1.92
D,62,Veltman,4.2,4.2,Brighton,85,3.20,83,3.06,78,2.52,77,2.41,77,2.96
F,63,Maupay,6.4,6.4,Brighton,56,2.99,52,2.50,57,2.85,56,2.85,55,2.93
M,64,Trossard,5.8,5.8,Brighton,73,3.59,70,3.05,69,3.16,65,3.07,72,3.51
G,65,Ryan,4.5,4.5,Brighton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,66,Jahanbakhsh,5.5,5.5,Brighton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,67,White,4.6,4.6,Arsenal,89,3.09,87,3.02,84,6.02,82,3.16,83,3.76
D,68,Bernardo,4.0,4.0,Brighton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
G,69,Sánchez,4.6,4.5,Brighton,90,3.88,87,3.78,89,3.59,88,3.49,88,3.82
M,70,Bissouma,4.4,4.4,Brighton,0,0.00,76,2.37,74,2.30,72,2.24,73,2.36
D,71,Lamptey,4.5,4.5,Brighton,72,3.34,65,2.91,69,2.69,65,2.51,61,2.83
F,72,Connolly,5.3,5.3,Brighton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,73,Alzate,4.8,4.8,Brighton,2,0.17,2,0.17,4,0.25,4,0.28,6,0.34
M,74,Mac Allister,5.1,5.1,Brighton,77,3.54,67,2.83,66,2.88,70,3.08,65,3.03
M,75,Moder,4.5,4.5,Brighton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,76,Jansson,4.4,4.4,Brentford,89,2.37,83,1.79,83,2.88,83,2.54,78,2.75
M,77,Nørgaard,5.0,5.0,Brentford,85,2.39,82,2.20,80,2.51,78,2.29,79,2.52
F,78,Toney,6.9,6.9,Brentford,83,3.94,79,3.34,78,4.39,79,3.84,77,4.55
M,79,Fosu,5.1,5.1,Brentford,5,0.33,5,0.33,5,0.34,5,0.33,5,0.37
