Pos,ID,Name,BV,SV,Team,20_xMins,20_Pts,21_xMins,21_Pts,22_xMins,22_Pts,23_xMins,23_Pts,24_xMins,24_Pts,25_xMins,25_Pts,26_xMins,26_Pts,27_xMins,27_Pts,28_xMins,28_Pts
D,1,Cédric,4.2,4.2,Arsenal,1,0.04,4,0.16,4,0.18,5,0.33,5,0.29,6,0.22,6,0.32,6,0.26,7,0.27
G,2,Leno,4.5,4.5,Fulham,88,3.23,88,3.39,87,3.21,88,3.92,88,3.25,86,3.14,86,3.25,84,3.10,83,0.97
M,3,Xhaka,5.1,5.1,Arsenal,85,2.74,79,2.69,78,2.82,76,5.21,75,3.32,71,2.55,72,3.10,73,2.56,69,2.06
M,4,Elneny,4.2,4.2,Arsenal,4,0.13,8,0.27,9,0.32,11,0.74,11,0.44,13,0.47,15,0.60,13,0.43,15,0.41
D,5,Holding,4.2,4.2,Arsenal,1,0.04,6,0.20,4,0.14,5,0.33,6,0.28,7,0.29,6,0.26,7,0.25,8,0.25
M,6,Partey,4.8,4.8,Arsenal,83,2.63,79,2.58,77,2.73,74,5.01,75,3.23,71,2.45,69,2.85,70,2.41,69,2.00
M,7,Ødegaard,6.7,6.7,Arsenal,75,3.69,74,3.83,73,4.00,70,7.37,69,4.68,65,3.60,68,4.65,69,3.68,67,3.08
D,8,Tierney,4.7,4.7,Arsenal,22,0.91,25,1.08,24,1.20,27,2.40,27,1.68,32,1.60,27,1.66,30,1.43,31,1.35
M,9,Pépé,5.3,5.3,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,10,White,4.7,4.7,Arsenal,73,2.74,70,2.76,67,3.18,68,5.60,67,3.76,64,2.85,63,3.57,61,2.63,66,2.66
F,11,Nketiah,6.5,6.5,Arsenal,70,3.80,72,4.02,70,4.12,50,6.02,38,2.93,25,1.53,21,1.65,23,1.42,24,1.23
M,12,Smith Rowe,5.6,5.6,Arsenal,20,1.16,41,2.27,32,1.93,32,3.82,30,2.27,30,1.77,29,2.04,28,1.70,29,1.45
