Pos,ID,Name,BV,SV,Team,1_xMins,1_Pts,2_xMins,2_Pts,3_xMins,3_Pts,4_xMins,4_Pts,5_xMins,5_Pts,6_xMins,6_Pts,7_xMins,7_Pts,8_xMins,8_Pts
D,1,Cédric,4.5,4.5,Arsenal,8,0.30,7,0.27,7,0.30,8,0.38,9,0.36,8,0.25,9,0.39,8,0.28
G,2,Leno,4.5,4.5,Arsenal,0,0.01,1,0.02,1,0.04,1,0.05,1,0.05,1,0.03,1,0.07,1,0.04
M,3,Xhaka,5.0,5.0,Arsenal,77,2.48,74,2.50,72,2.40,71,2.59,69,2.33,66,1.90,62,2.16,62,1.97
M,4,Elneny,4.5,4.5,Arsenal,19,0.65,19,0.66,21,0.74,18,0.67,15,0.56,20,0.63,19,0.71,20,0.69
D,5,Holding,4.5,4.5,Arsenal,8,0.30,10,0.36,10,0.38,7,0.28,7,0.28,11,0.33,12,0.52,10,0.36
M,6,Partey,5.0,5.0,Arsenal,71,2.42,70,2.49,66,2.34,67,2.56,69,2.45,61,1.84,61,2.27,58,1.97
M,7,Ødegaard,6.5,6.5,Arsenal,72,3.63,70,3.82,68,3.52,67,3.97,66,3.63,65,2.72,64,3.57,63,3.18
D,8,Tierney,5.0,5.0,Arsenal,8,0.38,14,0.67,24,1.24,40,2.18,50,2.45,51,1.71,50,2.57,50,2.08
M,9,Pépé,5.5,5.5,Arsenal,11,0.77,10,0.78,12,0.87,11,0.94,9,0.73,13,0.76,15,1.16,15,1.03
D,10,White,4.5,4.5,Arsenal,84,3.40,78,3.29,73,3.22,72,3.41,69,2.98,68,2.02,65,3.00,66,2.41
F,11,Nketiah,7.0,7.0,Arsenal,34,1.94,32,2.02,32,1.92,35,2.37,32,2.02,34,1.70,34,2.18,34,1.96
M,12,Smith Rowe,6.0,6.0,Arsenal,15,0.92,22,1.40,27,1.60,28,1.92,31,1.93,36,1.76,36,2.21,34,1.94
M,13,Saka,8.0,8.0,Arsenal,77,4.71,76,5.09,73,4.64,71,5.29,70,4.72,69,3.45,68,4.74,67,4.10
D,14,Tomiyasu,4.5,4.5,Arsenal,24,1.09,41,1.92,57,2.75,65,3.37,68,3.15,67,2.19,66,3.27,67,2.65
G,15,Ramsdale,5.0,5.0,Arsenal,89,3.91,88,3.94,87,4.05,86,4.09,86,3.87,84,3.30,84,3.96,82,3.48
