Pos,ID,Name,BV,SV,Team,1_xMins,1_Pts,2_xMins,2_Pts,3_xMins,3_Pts,4_xMins,4_Pts,5_xMins,5_Pts,6_xMins,6_Pts
D,1,Cédric,4.5,4.5,Arsenal,19,0.72,16,0.67,10,0.38,10,0.41,11,0.45,9,0.27
G,2,Leno,4.5,4.5,Arsenal,1,0.02,0,0.01,1,0.03,0,0.02,1,0.05,1,0.03
M,3,Xhaka,5.0,5.0,Arsenal,77,2.56,71,2.55,72,2.56,69,2.69,66,2.40,61,1.93
M,4,Elneny,4.5,4.5,Arsenal,18,0.65,20,0.73,18,0.67,18,0.73,16,0.61,19,0.63
D,5,Holding,4.5,4.5,Arsenal,9,0.32,9,0.34,6,0.25,5,0.21,6,0.22,8,0.25
M,6,Partey,5.0,5.0,Arsenal,71,2.41,70,2.52,67,2.42,67,2.64,66,2.42,64,2.02
M,7,Ødegaard,6.5,6.5,Arsenal,78,3.54,75,3.77,75,3.67,73,4.10,71,3.67,69,2.85
D,8,Tierney,5.0,5.0,Arsenal,11,0.44,21,0.96,36,1.72,49,2.59,60,2.79,62,2.05
M,9,Pépé,5.5,5.5,Arsenal,15,0.96,14,1.02,14,0.99,14,1.14,12,0.93,14,0.85
D,10,White,4.5,4.5,Arsenal,82,2.88,76,3.04,70,2.92,71,3.27,69,2.83,65,1.93
F,11,Nketiah,7.0,7.0,Arsenal,32,1.77,34,2.06,35,2.07,35,2.34,33,2.08,36,1.83
M,12,Smith Rowe,6.0,6.0,Arsenal,18,1.04,24,1.51,26,1.62,24,1.71,25,1.67,28,1.48
M,13,Saka,8.0,8.0,Arsenal,79,4.24,76,4.56,74,4.42,74,5.04,73,4.51,72,3.49
D,14,Tomiyasu,4.5,4.5,Arsenal,28,1.14,47,2.14,62,2.86,66,3.40,65,3.02,66,2.20
G,15,Ramsdale,5.0,5.0,Arsenal,89,3.57,87,3.70,86,3.75,86,3.93,86,3.69,84,3.20
D,16,Gabriel,5.0,5.0,Arsenal,82,3.34,78,3.67,77,3.71,75,4.09,73,3.57,72,2.47
D,17,Tavares,4.5,4.5,Arsenal,5,0.23,4,0.18,3,0.12,2,0.11,3,0.13,4,0.14
