Pos,ID,Name,BV,SV,Team,2_xMins,2_Pts,3_xMins,3_Pts,4_xMins,4_Pts,5_xMins,5_Pts,6_xMins,6_Pts,7_xMins,7_Pts,8_xMins,8_Pts,9_xMins,9_Pts
D,1,Cédric,4.5,4.5,Arsenal,8,0.31,8,0.33,10,0.44,8,0.34,10,0.34,11,0.50,10,0.40,12,0.44
G,2,Leno,4.5,4.5,Fulham,83,3.22,86,3.44,85,3.01,84,3.43,84,2.94,84,3.06,84,3.32,81,3.24
M,3,Xhaka,5.0,5.0,Arsenal,72,2.44,71,2.41,72,2.62,69,2.34,67,1.94,65,2.27,65,2.08,61,1.84
M,4,Elneny,4.5,4.5,Arsenal,15,0.55,16,0.58,15,0.57,13,0.48,13,0.43,14,0.54,12,0.42,15,0.50
D,5,Holding,4.5,4.5,Arsenal,9,0.36,8,0.31,8,0.34,9,0.33,10,0.29,12,0.50,10,0.36,11,0.37
M,6,Partey,5.0,5.0,Arsenal,76,2.72,74,2.65,74,2.84,73,2.58,70,2.11,69,2.56,69,2.31,70,2.20
M,7,Ødegaard,6.5,6.5,Arsenal,74,4.02,73,3.73,72,4.20,70,3.77,68,2.86,67,3.74,69,3.43,68,3.11
D,8,Tierney,5.0,5.0,Arsenal,15,0.73,22,1.13,32,1.79,45,2.21,50,1.72,53,2.82,50,2.15,51,1.94
M,9,Pépé,5.5,5.5,Arsenal,17,1.20,17,1.15,19,1.47,14,1.01,14,0.82,12,0.91,13,0.86,11,0.67
D,10,White,4.5,4.5,Arsenal,78,3.30,74,3.45,69,3.33,68,2.91,67,2.04,64,3.00,66,2.51,62,2.08
F,11,Nketiah,7.0,7.0,Arsenal,34,2.14,34,2.02,34,2.32,30,1.91,32,1.63,30,1.98,31,1.85,32,1.76
M,12,Smith Rowe,6.0,6.0,Arsenal,3,0.20,7,0.43,12,0.81,18,1.16,21,1.10,33,2.05,35,2.01,38,1.99
M,13,Saka,8.0,8.0,Arsenal,76,4.86,74,4.47,74,5.19,72,4.61,71,3.45,70,4.74,72,4.21,69,3.73
D,14,Tomiyasu,4.5,4.5,Arsenal,35,1.66,53,2.63,61,3.17,64,3.00,66,2.20,67,3.39,65,2.67,65,2.40
G,15,Ramsdale,5.0,5.0,Arsenal,88,3.98,88,4.18,86,4.15,86,3.90,85,3.37,85,4.04,85,3.60,84,3.44
D,16,Gabriel,5.0,5.0,Arsenal,79,3.82,78,3.99,74,4.09,70,3.41,67,2.27,66,3.50,66,2.81,66,2.51
D,17,Tavares,4.5,4.5,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,18,Sambi,4.5,4.5,Arsenal,14,0.59,14,0.59,10,0.43,10,0.41,9,0.35,9,0.41,9,0.39,11,0.42
M,19,Martinelli,6.0,6.0,Arsenal,65,4.17,62,3.76,58,4.05,54,3.51,50,2.53,49,3.31,44,2.71,45,2.53
D,20,Pablo Marí,4.5,4.5,Arsenal,1,0.02,0,0.02,1,0.04,1,0.04,1,0.03,1,0.06,1,0.04,1,0.04
M,21,Maitland-Niles,5.0,5.0,Arsenal,2,0.13,2,0.15,2,0.18,3,0.21,5,0.28,4,0.29,4,0.25,4,0.28
M,22,Torreira,4.5,4.5,Arsenal,1,0.04,2,0.07,1,0.05,1,0.04,2,0.07,2,0.07,1,0.06,2,0.08
M,23,Nelson,5.0,5.0,Arsenal,2,0.17,2,0.12,2,0.15,2,0.17,2,0.16,3,0.22,2,0.11,2,0.15
G,24,Turner,4.0,4.0,Arsenal,1,0.07,2,0.09,3,0.17,3,0.14,4,0.18,4,0.21,5,0.20,6,0.24
M,25,Fábio Vieira,6.0,6.0,Arsenal,13,0.73,13,0.71,16,1.00,23,1.28,28,1.26,24,1.35,27,1.39,25,1.24
D,26,Saliba,4.5,4.5,Arsenal,60,2.70,48,2.33,46,2.35,47,2.13,44,1.41,47,2.34,49,1.96,50,1.76
