Pos,ID,Name,BV,SV,Team,4_xMins,4_Pts,5_xMins,5_Pts,6_xMins,6_Pts,7_xMins,7_Pts,8_xMins,8_Pts
D,1,Cédric,4.3,4.3,Arsenal,2,0.08,5,0.20,4,0.13,7,0.32,8,0.29
G,2,Leno,4.5,4.5,Fulham,88,3.13,88,3.48,86,3.03,86,3.10,85,3.47
M,3,Xhaka,5.0,5.0,Arsenal,78,2.92,75,2.63,73,2.13,70,2.54,68,2.24
M,4,Elneny,4.4,4.4,Arsenal,10,0.42,12,0.47,13,0.42,13,0.50,13,0.47
D,5,Holding,4.3,4.3,Arsenal,7,0.30,10,0.39,10,0.31,9,0.39,10,0.36
M,6,Partey,5.0,5.0,Arsenal,83,3.27,80,2.93,78,2.38,77,2.92,75,2.56
M,7,Ødegaard,6.4,6.4,Arsenal,76,4.54,74,4.01,73,3.15,73,4.12,70,3.55
D,8,Tierney,4.9,4.9,Arsenal,19,1.04,22,1.17,29,1.02,37,2.09,40,1.83
M,9,Pépé,5.3,5.3,Arsenal,1,0.09,2,0.14,3,0.20,3,0.26,4,0.30
D,10,White,4.5,4.5,Arsenal,74,3.62,73,3.44,73,2.15,68,3.38,65,2.57
F,11,Nketiah,6.8,6.8,Arsenal,25,1.84,28,1.92,28,1.64,31,2.18,30,1.92
M,12,Smith Rowe,5.8,5.8,Arsenal,15,1.12,19,1.22,24,1.32,24,1.60,29,1.73
M,13,Saka,7.9,7.9,Arsenal,79,5.75,75,4.95,72,3.77,72,5.07,73,4.44
D,14,Tomiyasu,4.3,4.3,Arsenal,23,1.15,30,1.51,38,1.26,46,2.38,51,2.09
G,15,Ramsdale,5.0,5.0,Arsenal,89,4.17,88,4.16,87,3.35,86,4.20,85,3.64
D,16,Gabriel,5.0,5.0,Arsenal,83,4.53,81,4.19,78,2.54,75,4.16,74,3.27
D,17,Tavares,4.5,4.5,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,18,Sambi,4.4,4.4,Arsenal,8,0.36,11,0.46,9,0.38,8,0.37,8,0.34
M,19,Martinelli,6.4,6.2,Arsenal,75,5.52,72,4.65,68,3.50,67,4.61,63,3.85
D,20,Pablo Marí,4.5,4.5,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,21,Maitland-Niles,4.9,4.9,Arsenal,1,0.05,1,0.10,2,0.12,2,0.16,2,0.18
M,22,Torreira,4.5,4.5,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,23,Nelson,4.9,4.9,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
G,24,Turner,4.0,4.0,Arsenal,1,0.04,1,0.03,3,0.10,3,0.13,5,0.20
M,25,Fábio Vieira,5.8,5.8,Arsenal,8,0.49,9,0.57,15,0.75,17,1.01,20,1.10
D,26,Saliba,4.6,4.6,Arsenal,82,4.13,77,3.79,70,2.17,70,3.64,68,2.79
M,27,Marquinhos,4.8,4.8,Arsenal,0,0.03,1,0.07,2,0.10,1,0.09,1,0.08
F,28,Jesus,8.2,8.1,Arsenal,81,5.93,78,5.07,76,4.05,74,4.99,74,4.43
M,29,Coutinho,6.8,6.8,Aston Villa,49,2.97,55,2.34,58,2.45,58,2.98,57,3.56
F,30,Ings,7.0,7.0,Aston Villa,44,2.81,45,2.09,44,2.05,44,2.52,45,3.15
G,31,Martínez,5.0,5.0,Aston Villa,89,3.63,88,3.17,87,3.10,86,3.31,86,3.67
D,32,Chambers,4.4,4.4,Aston Villa,19,0.69,23,0.51,28,0.58,28,0.86,29,1.24
D,33,Digne,4.9,4.9,Aston Villa,85,3.63,81,1.97,79,1.78,80,2.75,77,3.82
M,34,Traoré,4.9,4.9,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
G,35,Olsen,4.0,4.0,Aston Villa,1,0.05,2,0.06,3,0.12,3,0.13,4,0.16
M,36,Sanson,4.5,4.5,Aston Villa,7,0.36,10,0.44,12,0.52,12,0.60,14,0.74
M,37,McGinn,5.4,5.4,Aston Villa,83,2.74,81,2.17,80,2.12,76,2.30,75,2.66
D,38,Hause,4.4,4.4,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,39,Mings,4.4,4.4,Aston Villa,85,2.92,82,1.61,79,1.41,79,2.19,78,3.07
F,40,Watkins,7.4,7.4,Aston Villa,80,4.14,80,2.96,78,2.86,78,3.55,76,4.28
M,41,Nakamba,4.5,4.5,Aston Villa,8,0.35,8,0.34,11,0.41,13,0.50,14,0.59
M,42,Buendía,6.0,6.0,Aston Villa,42,2.36,35,1.53,35,1.51,36,1.83,36,2.21
D,43,Cash,4.9,4.9,Aston Villa,85,3.17,81,1.75,76,1.52,76,2.34,76,3.32
D,44,Konsa,4.5,4.5,Aston Villa,77,2.83,76,1.66,71,1.44,73,2.18,72,2.99
M,45,Bailey,4.9,4.9,Aston Villa,51,2.82,49,2.04,48,1.98,47,2.33,48,2.87
M,46,Douglas Luiz,4.9,4.9,Aston Villa,21,0.74,24,0.74,24,0.74,27,0.90,28,1.01
M,47,Ramsey,5.4,5.4,Aston Villa,69,2.75,66,2.11,64,2.03,63,2.31,61,2.65
M,48,Chukwuemeka,4.4,4.4,Chelsea,1,0.07,1,0.04,1,0.07,1,0.08,1,0.05
M,49,Iroegbunam,4.5,4.5,Aston Villa,1,0.05,2,0.09,4,0.14,3,0.13,3,0.15
D,50,Diego Carlos,4.9,4.9,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,51,El Ghazi,4.9,4.9,Aston Villa,0,0.02,0,0.03,1,0.06,1,0.10,2,0.16
F,52,Davis,5.4,5.4,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,53,Kamara,5.0,5.0,Aston Villa,78,2.26,75,1.87,73,1.80,71,1.94,68,2.10
F,54,Archer,4.5,4.5,Aston Villa,12,0.60,13,0.51,14,0.56,15,0.68,16,0.88
M,55,Philogene-Bidace,4.5,4.5,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,56,Guilbert,4.0,4.0,Aston Villa,4,0.17,8,0.21,13,0.29,12,0.39,12,0.48
D,57,Smith,4.5,4.5,Bournemouth,72,1.14,66,2.31,63,2.34,60,2.05,60,1.40
M,58,Stanislas,4.9,4.9,Bournemouth,16,0.74,21,1.30,23,1.35,19,1.13,21,1.09
D,59,Fredericks,4.4,4.4,Bournemouth,16,0.33,22,0.83,30,1.16,40,1.42,38,0.98
M,60,Brooks,5.4,5.4,Bournemouth,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,61,Lowe,5.4,5.4,Bournemouth,11,0.50,7,0.44,7,0.40,7,0.41,8,0.43
F,62,Moore,5.5,5.5,Bournemouth,51,1.71,27,1.32,28,1.28,31,1.38,27,1.11
M,63,Marcondes,4.9,4.9,Bournemouth,3,0.16,4,0.24,4,0.25,4,0.23,4,0.24
M,64,Lerma,5.0,5.0,Bournemouth,80,1.89,77,2.40,75,2.32,71,2.14,72,1.92
D,65,Stacey,4.4,4.4,Bournemouth,21,0.37,23,0.82,22,0.80,20,0.69,25,0.60
F,66,Solanke,5.9,5.9,Bournemouth,48,1.57,77,3.89,77,3.60,78,3.61,76,2.97
M,67,Cook,4.9,4.9,Bournemouth,43,1.23,43,1.47,45,1.51,47,1.56,44,1.36
M,68,Pearson,4.5,4.5,Bournemouth,45,1.29,47,1.53,47,1.52,46,1.49,50,1.45
M,69,Christie,5.4,5.4,Bournemouth,49,1.57,43,1.90,44,1.87,41,1.75,43,1.61
M,70,Billing,5.4,5.4,Bournemouth,52,1.54,57,2.34,53,2.11,53,2.05,52,1.78
D,71,Mepham,4.5,4.5,Bournemouth,72,1.09,68,2.08,65,2.13,67,1.98,64,1.28
G,72,Travers,4.5,4.5,Bournemouth,75,2.67,70,2.73,69,2.78,68,2.68,67,2.42
D,73,Kelly,4.5,4.5,Bournemouth,79,1.15,77,2.38,75,2.47,73,2.20,73,1.49
M,74,Dembélé,4.9,4.9,Bournemouth,11,0.46,8,0.40,9,0.46,10,0.49,11,0.48
M,75,Anthony,5.4,5.4,Bournemouth,22,0.91,20,1.05,23,1.17,17,0.85,18,0.85
D,76,Zemura,4.4,4.4,Bournemouth,70,1.07,68,2.24,66,2.32,61,1.94,60,1.31
G,77,Dennis,4.0,4.0,Bournemouth,0,0.01,0,0.00,0,0.00,0,0.00,0,0.00
D,78,Jansson,4.5,4.5,Brentford,86,3.48,81,2.38,77,2.76,77,2.30,71,1.78
