Pos,ID,Name,BV,SV,Team,1_xMins,1_Pts,2_xMins,2_Pts,3_xMins,3_Pts,4_xMins,4_Pts,5_xMins,5_Pts,6_xMins,6_Pts,7_xMins,7_Pts,8_xMins,8_Pts,9_xMins,9_Pts,10_xMins,10_Pts,11_xMins,11_Pts,12_xMins,12_Pts,Elite%
M,1,Fábio Vieira,5.5,5.5,Arsenal,5,0.39,8,0.53,9,0.64,11,0.63,12,0.58,12,0.88,12,0.89,12,0.77,12,0.72,14,0.78,13,0.70,13,0.91,0.00
F,2,G.Jesus,7.0,7.0,Arsenal,43,3.13,42,2.59,43,3.08,44,2.58,42,2.07,46,4.00,45,3.77,46,3.04,46,2.90,46,2.79,48,2.83,48,3.67,0.02
D,3,Gabriel,6.0,6.0,Arsenal,89,4.94,86,3.46,82,4.14,80,3.02,79,2.21,77,4.49,76,4.40,75,3.50,76,3.15,75,2.98,76,2.85,77,4.35,0.13
F,4,Havertz,8.0,8.0,Arsenal,85,5.47,81,4.36,81,5.17,77,3.89,77,3.13,74,5.71,75,5.54,76,4.39,75,4.01,74,3.94,74,3.77,73,5.00,0.13
G,5,Hein,4.0,4.0,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,6,J.Timber,5.5,5.5,Arsenal,12,0.57,20,0.77,27,1.36,30,1.14,28,0.87,30,1.73,33,1.85,34,1.58,35,1.49,33,1.31,34,1.29,37,2.02,0.01
M,7,Jorginho,5.0,5.0,Arsenal,28,1.19,32,1.21,33,1.31,35,1.26,36,1.20,36,1.53,36,1.54,37,1.39,36,1.33,36,1.31,34,1.24,36,1.47,0.00
D,8,Kiwior,5.0,5.0,Arsenal,3,0.16,9,0.35,9,0.41,8,0.31,7,0.24,9,0.45,8,0.40,7,0.30,8,0.34,8,0.31,8,0.30,7,0.34,0.00
M,9,Martinelli,7.0,7.0,Arsenal,49,3.58,50,3.02,46,3.29,44,2.57,46,2.19,47,4.05,43,3.64,44,2.94,42,2.58,44,2.63,43,2.52,44,3.49,0.03
M,10,Nelson,5.0,5.0,Arsenal,3,0.27,4,0.29,3,0.28,4,0.29,6,0.34,7,0.57,8,0.59,7,0.47,8,0.47,8,0.50,8,0.45,8,0.56,0.00
F,11,Nketiah,6.0,6.0,Arsenal,3,0.29,2,0.18,1,0.11,2,0.14,3,0.18,3,0.27,2,0.24,3,0.27,4,0.27,2,0.20,3,0.22,3,0.25,0.00
M,12,Nwaneri,4.5,4.5,Arsenal,5,0.35,7,0.39,9,0.48,10,0.49,10,0.45,11,0.61,12,0.67,12,0.60,12,0.56,13,0.61,15,0.68,13,0.69,0.00
M,13,Ødegaard,8.5,8.5,Arsenal,90,5.89,88,4.66,88,5.64,86,4.36,85,3.44,84,6.42,85,6.65,84,4.92,85,4.71,84,4.44,84,4.28,84,5.89,0.16
G,14,Ramsdale,4.5,4.5,Arsenal,2,0.09,3,0.13,4,0.19,4,0.16,4,0.16,5,0.24,6,0.28,6,0.26,7,0.27,6,0.24,6,0.26,6,0.27,0.01
G,15,Raya,5.5,5.5,Arsenal,93,4.35,92,3.60,91,3.92,91,3.49,91,3.23,90,4.19,89,4.13,89,3.71,88,3.47,89,3.44,88,3.42,89,4.13,0.25
M,16,Rice,6.5,6.5,Arsenal,79,3.33,81,2.87,81,3.29,81,2.72,81,2.38,79,3.68,80,3.68,79,3.01,80,2.88,80,2.78,80,2.67,78,3.40,0.06
