Pos,ID,Name,BV,SV,Team,36_xMins,36_Pts,37_xMins,37_Pts,38_xMins,38_Pts
G,1,Leno,4.5,4.5,Arsenal,1,0.10,2,0.10,3,0.16
G,2,Rúnarsson,4.0,4.0,Arsenal,0,0.00,0,0.00,0,0.00
M,3,Willian,6.3,6.3,Arsenal,0,0.00,0,0.00,0,0.00
F,4,Aubameyang,9.6,9.6,Arsenal,0,0.00,0,0.00,0,0.00
D,5,Cédric,4.2,4.2,Arsenal,42,3.47,25,1.15,16,0.81
F,6,Lacazette,8.2,8.2,Arsenal,29,3.58,28,1.66,29,1.94
M,7,Xhaka,4.8,4.8,Arsenal,87,5.23,83,2.51,80,2.64
D,8,Marí,4.2,4.2,Arsenal,0,0.00,0,0.00,0,0.00
D,9,Bellerín,4.8,4.8,Arsenal,0,0.00,0,0.00,0,0.00
D,10,Chambers,4.2,4.2,Aston Villa,67,3.68,59,4.97,49,0.82
D,11,Kolasinac,4.2,4.2,Arsenal,0,0.00,0,0.00,0,0.00
M,12,Elneny,4.4,4.4,Arsenal,84,5.15,76,2.36,54,1.81
M,13,Maitland-Niles,5.2,5.2,Arsenal,0,0.00,0,0.00,0,0.00
D,14,Holding,4.1,4.1,Arsenal,28,2.35,13,0.55,17,0.78
M,15,Partey,5.0,5.0,Arsenal,0,0.00,8,0.30,32,1.18
D,16,Tierney,4.9,4.9,Arsenal,0,0.00,0,0.00,0,0.00
M,17,Pépé,6.9,6.9,Arsenal,15,2.15,15,1.04,16,1.28
M,18,Torreira,4.5,4.5,Arsenal,0,0.00,0,0.00,0,0.00
M,19,Willock,5.4,5.4,Newcastle,58,1.80,58,2.16,53,2.10
F,20,Nketiah,5.6,5.6,Arsenal,67,7.55,70,3.56,68,3.96
M,21,Smith Rowe,5.7,5.7,Arsenal,39,4.56,41,2.28,42,2.61
M,22,Saka,6.7,6.5,Arsenal,78,10.47,76,4.86,75,5.44
D,23,Gabriel,5.4,5.4,Arsenal,87,6.99,84,3.73,81,4.08
D,24,Mavropanos,4.5,4.5,Arsenal,0,0.00,0,0.00,0,0.00
